위도(WGS84좌표),경도(WGS84좌표),information,man_made,name,addr:full,operator,operator:type,start_date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.5913231,129.0903445,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,361-4,망상동,,,
37.4803174,129.1129387,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2008,,,724-3,이도동,,,
37.4922852,129.1069782,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2008,,,208-3,동회동,,,
37.5044961,129.1265122,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2008,,,49-20,용정동,,,
37.5211102,129.1119731,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2008,,,1091,천곡동,,,
37.5209393,129.1208124,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2008,,,818,천곡동,,,
37.4893755,129.1075764,board,,행정게시대,,북삼동주민센터,government,2008,,,110,동회동,,,
37.5579456,129.1045602,board,,행정게시대,,망상동주민센터,government,2009,,,354-28,발한동,,,
37.5484595,129.1080257,board,,행정게시대,,발한동주민센터,government,2009,,,239-1,발한동,,,
37.5458873,129.1001941,board,,행정게시대,,동호동주민센터,government,2009,,,514-1,발한동,,,
37.5229043,129.1160644,board,,행정게시대,,천곡동주민센터,government,2009,,,842,천곡동,,,
37.5227764,129.1171111,board,,행정게시대,,동해시보건소,government,2009,,,840,천곡동,,,
37.4997515,129.1285581,board,,행정게시대,,송정동주민센터,government,2009,,,854-110,송정동,,,
37.4837658,129.1250102,board,,행정게시대,,북평동주민센터,government,2009,,,127-1,북평동,,,
37.4988803,129.1158424,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2010,,,435-3,용정동,,,
37.5120704,129.1248818,board,,행정게시대,,동해시평생교육센터,government,2010,,,503,용정동,,,
37.5228305,129.1160694,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2011,,,163-12,천곡동,,,
37.5228305,129.1160694,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2011,,,163-12,천곡동,,,
37.4756004,129.1101667,board,,행정게시대,,동해해양경비안전본부,government,2012,,,77-1,지가동,,,
37.4907039,129.1024418,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2012,,,258-1,동회동,,,
37.5323533,129.1140837,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2012,,,430,평릉동,,,
37.5514091,129.1057686,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2016,,,,발한동,,,
37.5237104,129.1137211,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2013,,,1090-9,천곡동,,,
37.5385608,129.1059986,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2014,,,124-4,부곡동,,,
37.5779465,129.0872964,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2014,,,653-1,심곡동,,,
37.5586983,129.1142021,board,,행정게시대,,묵호동주민센터,government,2014,,,1-44,묵호진동,,,
37.4882653,129.0682535,board,,행정게시대,,삼화동주민센터,government,2015,,,183-4,이로동,,,
37.4910298,129.1203811,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2015,,,,송정동,,,
37.5204743,129.1031161,board,,공공게시대,강원도 동해시 천곡동 산159-7,강원도옥외광고협회 동해시지부,government,2015,,,,천곡동,,,
37.5395032,129.0957586,board,,행정게시대,강원도 동해시 부곡동 226-2대,농업기술센터,government,2016,,,,부곡동,,,
37.486312,129.11187,board,,행정게시대,,강원도옥외광고협회 동해시지부,government,2017,,,184-4,나안동,,,
37.538548,129.105742,board,,행정게시대,,강원도옥외광고협회 동해시지부,government,2017,,,129-20,부곡동,,,
37.514606,129.103807,board,,행정게시대,,강원도옥외광고협회 동해시지부,government,2017,,,363-1,천곡동,,,
37.5391333,129.1101892,board,,행정게시대,,강원도옥외광고협회 동해시지부,government,2017,,,7-77,부곡동,,,
37.524313,129.116389,board,,행정게시대,,동해경찰서,government,2017,,,816,천곡동,,,
37.492231,129.110605,board,,저단형게시대,,강원도옥외광고협회 동해시지부,government,2017,,,,효가동,,,
37.547083,129.107245,board,,저단형게시대,,강원도옥외광고협회 동해시지부,government,2017,,,215-7,발한동,,,
37.5237104,129.1137211,board,,저단형게시대,,강원도옥외광고협회 동해시지부,government,2017,,,1090-9,천곡동,,,
37.538716,129.101901,board,,저단형게시대,,강원도옥외광고협회 동해시지부,government,2017,,,166,부곡동,,,
37.526291,129.104845,board,,저단형게시대,,강원도옥외광고협회 동해시지부,government,2017,,,486-2,천곡동,,,
37.591802,129.089092,board,,저단형게시대,,동해시 관광과,government,2017,,,360-30,망상동,,,
37.449421,129.165339,board,,시민게시판(삼척시청본관),,강원도 삼척시청,government,1988,,,592,교동,,,
37.288334,129.06888,board,,시민게시판(도계리 마을회관),강원도 삼척시 도계읍 도계리,강원도 삼척시 도계읍사무소,government,2015,,,,도계읍,,,
37.22923,129.051351,board,,시민게시판(도계 협동아파트),강원도 삼척시 도계읍 도계리 244-1,강원도 삼척시 도계읍사무소,government,2015,,,244-1,도계읍,,,
37.171699,129.337307,board,,시민게시판(원덕 택시정류장),강원도 삼척시 원덕읍 호산리 193-6,강원도 삼척시 도계읍사무소,government,2015,,,193-6,원덕읍,,,
37.176471,129.335591,board,,시민게시판(원덕읍사무소),강원도 삼척시 원덕읍 호산리 240,강원도 삼척시 원덕읍사무소,government,2015,,,240,원덕읍,,,
37.379264,129.225717,board,,시민게시판(근덕면사무소),강원도 삼척시 근덕면 교가리 661-1,강원도 삼척시 근덕면사무소,government,2015,,,661-1,근덕면,,,
37.34771,129.164023,board,,시민게시판(노곡면사무소),강원도 삼척시 노곡면 하월산리 169-2,강원도 삼척시 노곡면사무소,government,2015,,,169-2,노곡면,,,
37.149781,129.205234,board,,시민게시판(가곡면사무소),강원도 삼척시 가곡면 오저리 17-5,강원도 삼척시 가곡면사무소,government,2015,,,17-5,가곡면,,,
37.349528,129.082967,board,,시민게시판(신기면사무소),강원도 삼척시 신기면 신기리 271,강원도 삼척시 신기면사무소,government,2015,,,271,신기면,,,
37.440643,129.164251,board,,시민게시판(삼척의료원),,강원도 삼척시청,government,2015,,,55-9,남양동,,,
38.100281,127.981618,board,,마을회관게시판,강원도 양구군 양구읍 정림리 436,강원도 양구군 양구읍사무소,government,2017,,,436,양구읍,,,
38.120588,127.97445,board,,마을회관게시판,강원도 양구군 양구읍 동수리 106-2,강원도 양구군 양구읍사무소,government,2017,,,106-2,양구읍,,,
38.14406,127.981082,board,,마을회관게시판,강원도 양구군 양구읍 고대리 228-1,강원도 양구군 양구읍사무소,government,2017,,,228-1,양구읍,,,
38.135178,128.00772,board,,마을회관게시판,강원도 양구군 양구읍 죽곡리 299-2,강원도 양구군 양구읍사무소,government,2017,,,299-2,양구읍,,,
38.143899,128.014612,board,,마을회관게시판,강원도 양구군 양구읍 한전리 133-2,강원도 양구군 양구읍사무소,government,2017,,,133-2,양구읍,,,
