버스정류장 명칭,도로명주소,지번주소,위도,경도,기준일 
학곡1리,강원도 원주시 소초면 치악로 3371-1,강원도 원주시 소초면 학곡리 569-1,37.439466,128.050449,2020-11-25
학곡저수지,강원도 원주시 소초면 치악로 3424,강원도 원주시 소초면 학곡리 600-2,37.438135,128.054997,2020-11-25
학곡리,강원도 원주시 소초면 서동로 8,강원도 원주시 소초면 학곡리 419-8,37.437968,128.057236,2020-11-25
학곡보건소앞,강원도 원주시 소초면 구룡사로 5,강원도 원주시 소초면 학곡리 1061-3,37.437152,128.057194,2020-11-25
학곡저수지,강원도 원주시 소초면 치악로 3421,강원도 원주시 소초면 학곡리 600-13,37.438323,128.055032,2020-11-25
학곡저수지앞,강원도 원주시 소초면 치악로 3391,강원도 원주시 소초면 학곡리 544-3,37.440291,128.053244,2020-11-25
현촌,강원도 원주시 소초면 치악로 2828,강원도 원주시 소초면 평장리 927-3,37.42074,128.003197,2020-11-25
황골,강원도 원주시 소초면 황골로 398,강원도 원주시 소초면 흥양리 235-3,37.365255,128.00375,2020-11-25
회촌,강원도 원주시 소초면 치악로 2403,강원도 원주시 소초면 수암리 1364-17,37.388813,127.979556,2020-11-25
흥양2리,강원도 원주시 소초면 황골로 181,강원도 원주시 소초면 흥양리 890-1,37.381467,127.995851,2020-11-25
흥양교,강원도 원주시 소초면 황골로 218,강원도 원주시 소초면 흥양리 924-3,37.378533,127.994879,2020-11-25
흥양교,강원도 원주시 소초면 황골로 218,강원도 원주시 소초면 흥양리 924-2,37.378351,127.994929,2020-11-25
흥양삼거리,강원도 원주시 소초면 송문2길 17-1,강원도 원주시 소초면 흥양리 1619-2,37.381818,127.972184,2020-11-25
흥양삼거리,강원도 원주시 소초면 흥양로 240,강원도 원주시 소초면 흥양리 1619-2,37.381677,127.97218,2020-11-25
간무곡,강원도 원주시 호저면 간무곡길 2,강원도 원주시 호저면 무장리 693-1,37.392464,127.894353,2020-11-25
개전동정류장,강원도 원주시 호저면 호저로 1047,강원도 원주시 호저면 고산리 616-1,37.459897,127.924173,2020-11-25
고여대,강원도 원주시 호저면 신무로 534,강원도 원주시 호저면 무장리 516-11,37.399372,127.89184,2020-11-25
고여대앞,강원도 원주시 호저면 신무로 508,강원도 원주시 호저면 무장리 910,37.397219,127.890967,2020-11-25
고산낚시터,강원도 원주시 호저면 호저로 1140,강원도 원주시 호저면 고산리 산 77-12,37.466886,127.917691,2020-11-25
고산초교,강원도 원주시 호저면 호저로 883,강원도 원주시 호저면 고산리 613-8,37.446948,127.928591,2020-11-25
광격리입구,강원도 원주시 호저면 광학로 5,강원도 원주시 호저면 고산리 616-8,37.449005,127.929507,2020-11-25
대덕리,강원도 원주시 호저면 대덕길 140,강원도 원주시 호저면 대덕리 991-2,37.424881,127.938655,2020-11-25
대덕리입구,강원도 원주시 호저면 호저로 709-7,강원도 원주시 호저면 옥산리 205-6,37.432496,127.927719,2020-11-25
대명원,강원도 원주시 호저면 하만종3길 1,강원도 원주시 호저면 만종리 379-8,37.361118,127.910615,2020-11-25
