경로당명,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
마산경로당,전라북도 무주군 적상면 마산길 17-12,전라북도 무주군 적상면 사산리 438-1,35.921315,127.678486,2021-07-12
마산안골경로당,전라북도 무주군 적상면 마산내동길 96 ,전라북도 무주군 적상면 사산리 249-2,35.915185,127.684829,2021-07-12
마산할머니경로당,전라북도 무주군 적상면 마산길 17-12,전라북도 무주군 적상면 사산리 438-1,35.921315,127.678486,2021-07-12
박대경로당,전라북도 무주군 적상면 박대길 10-1,전라북도 무주군 적상면 삼유리 892-2,35.917513,127.609586,2021-07-12
북창경로당,전라북도 무주군 적상면 내창길 17-5,전라북도 무주군 적상면 북창리 833,35.974781,127.690932,2021-07-12
사내경로당,전라북도 무주군 적상면 사내로 113,전라북도 무주군 적상면 사산리 984-6,35.937745,127.67096,2021-07-12
사천경로당,전라북도 무주군 적상면 구억로 53-8,전라북도 무주군 적상면 사천리 362-2,35.944482,127.657291,2021-07-12
상가경로당,전라북도 무주군 적상면 상가길 2,전라북도 무주군 적상면 삼가리 688-5,35.906313,127.658454,2021-07-12
상유경로당,전라북도 무주군 적상면 삼유길 328,전라북도 무주군 적상면 삼유리 1578,35.893496,127.608111,2021-07-12
상조경로당,전라북도 무주군 적상면 괴목로 148,전라북도 무주군 적상면 괴목리 726,35.913035,127.716894,2021-07-12
성내경로당,전라북도 무주군 적상면 성내길 13,전라북도 무주군 적상면 사천리 342,35.94397,127.658683,2021-07-12
사천성내할머니경로당,전라북도 무주군 적상면 성내길 13,전라북도 무주군 적상면 사천리 342,35.94397,127.658683,2021-07-12
성도경로당,전라북도 무주군 적상면 성도길 124 ,전라북도 무주군 적상면 삼유리 182-1,35.903911,127.617393,2021-07-12
성유경로당,전라북도 무주군 적상면 성도길 23 ,전라북도 무주군 적상면 삼유리 987-1,35.911337,127.613393,2021-07-12
신대경로당,전라북도 무주군 적상면 신대길 14-3,전라북도 무주군 적상면 사천리 499-2,35.949134,127.662158,2021-07-12
신촌경로당,전라북도 무주군 적상면 삼유길 145,전라북도 무주군 적상면 삼유리 1059-9,35.908675,127.612438,2021-07-12
여원경로당,전라북도 무주군 적상면 여원길 1,전라북도 무주군 적상면 삼가리 1606-2,35.924731,127.639926,2021-07-12
용담경로당,전라북도 무주군 적상면 여용로 248,전라북도 무주군 적상면 사산리 1203-4,35.933416,127.656741,2021-07-12
이동경로당,전라북도 무주군 적상면 삼방로 498,전라북도 무주군 적상면 방이리 738-4,35.960326,127.609877,2021-07-12
중가경로당,전라북도 무주군 적상면 중가길 22,전라북도 무주군 적상면 삼가리 145-1,35.912026,127.663416,2021-07-12
중리경로당,전라북도 무주군 적상면 괴목로 532,전라북도 무주군 적상면 포내리 798-2,35.946793,127.715334,2021-07-12
중상가경로당,전라북도 무주군 적상면 삼가로 424 ,전라북도 무주군 적상면 삼가리 383-1,35.899788,127.659975,2021-07-12
중유경로당,전라북도 무주군 적상면 삼유길 209-3,전라북도 무주군 적상면 삼유리 1965-4,35.903516,127.612191,2021-07-12
초리경로당,전라북도 무주군 적상면 초리길 6 ,전라북도 무주군 적상면 북창리 280-1,35.981468,127.700785,2021-07-12
치목경로당,전라북도 무주군 적상면 치목길 95,전라북도 무주군 적상면 괴목리 1320-2,35.930247,127.708521,2021-07-12
치목할머니경로당,전라북도 무주군 적상면 치목길 95,전라북도 무주군 적상면 괴목리 1320-2,35.930247,127.708521,2021-07-12
하가경로당,전라북도 무주군 적상면 하가길 25 ,전라북도 무주군 적상면 삼가리 1224-1,35.921918,127.654141,2021-07-12
하비경로당,전라북도 무주군 적상면 삼방로 94,전라북도 무주군 적상면 삼유리 715-7,35.92757,127.612877,2021-07-12
하사내경로당,전라북도 무주군 적상면 사내로 33-4,전라북도 무주군 적상면 사산리 1109-8,35.940202,127.662838,2021-07-12
하유경로당,전라북도 무주군 적상면 삼방로 9,전라북도 무주군 적상면 삼유리 465-6,35.920949,127.612647,2021-07-12
하유할머니경로당,전라북도 무주군 적상면 상비길 12,전라북도 무주군 적상면 삼유리 605-1,35.922039,127.612742,2021-07-12
하조경로당,전라북도 무주군 적상면 괴목로 313,전라북도 무주군 적상면 괴목리 585-2,35.927481,127.716479,2021-07-12
하조할머니경로당,전라북도 무주군 적상면 괴목로 313,전라북도 무주군 적상면 괴목리 585-2,35.927481,127.716479,2021-07-12
하중리경로당,전라북도 무주군 적상면 괴목로 590,전라북도 무주군 적상면 포내리 728,35.951998,127.715344,2021-07-12
갈마경로당,전라북도 무주군 안성면 갈마길 39,전라북도 무주군 안성면 죽천리 1208-1,35.815256,127.689586,2021-07-12
골곡리경로당,전라북도 무주군 안성면 중산길 8,전라북도 무주군 안성면 장기리 96,35.859808,127.667391,2021-07-12
공진경로당,전라북도 무주군 안성면 공진길 9,전라북도 무주군 안성면 공진리 852-15,35.82903,127.642536,2021-07-12
공진할머니경로당,전라북도 무주군 안성면 공진길 9,전라북도 무주군 안성면 공진리 852-15,35.82903,127.642536,2021-07-12
궁대경로당,전라북도 무주군 안성면 궁대길 105 ,전라북도 무주군 안성면 금평리 1904-1,35.870103,127.683668,2021-07-12
금평경로당,전라북도 무주군 안성면 금평길 111,전라북도 무주군 안성면 금평리 1800-5,35.868136,127.67723,2021-07-12
내당경로당,전라북도 무주군 안성면 내외당길 161 ,전라북도 무주군 안성면 공정리 933-1,35.852125,127.686503,2021-07-12
덕곡경로당,전라북도 무주군 안성면 덕곡길 8-3,전라북도 무주군 안성면 덕산리 126,35.869232,127.700377,2021-07-12
덕곡할머니경로당,전라북도 무주군 안성면 덕곡길 8-3,전라북도 무주군 안성면 덕산리 126,35.869232,127.700377,2021-07-12
도촌경로당,전라북도 무주군 안성면 도촌길 32,전라북도 무주군 안성면 금평리 2163-1,35.883496,127.687798,2021-07-12
도치경로당,전라북도 무주군 안성면 도치길 33,전라북도 무주군 안성면 진도리 50-4,35.8728,127.645041,2021-07-12
도치할머니경로당,전라북도 무주군 안성면 도치길 33,전라북도 무주군 안성면 진도리 50-4,35.8728,127.645041,2021-07-12
돈당경로당,전라북도 무주군 안성면 내외당길 85,전라북도 무주군 안성면 공정리 1872,35.855587,127.679654,2021-07-12
두문경로당,전라북도 무주군 안성면 덕유산로 876,전라북도 무주군 안성면 금평리 569-2,35.877713,127.694822,2021-07-12
두문할머니경로당,전라북도 무주군 안성면 두문길 50-19,전라북도 무주군 안성면 금평리 583-1,35.876838,127.694215,2021-07-12
마암경로당,전라북도 무주군 안성면 마암길 59,전라북도 무주군 안성면 공진리 692-5,35.818537,127.641238,2021-07-12
명천경로당,전라북도 무주군 안성면 명천2길 11,전라북도 무주군 안성면 죽천리 417-1,35.835035,127.674589,2021-07-12
명천할머니경로당,전라북도 무주군 안성면 명천2길 11,전라북도 무주군 안성면 죽천리 417-1,35.835035,127.674589,2021-07-12
