위도,경도,name,addr:full,highway,public_transport,operator
37.453146,127.932827,샘골다리입구,강원도 원주시 호저면 광격윗길 4,bus_stop,platform,원주시
37.453931,127.938446,샘골종점,강원도 원주시 호저면 광격샘골길 53-1,bus_stop,platform,원주시
37.420357,127.963514,장양리 차고지,강원도 원주시 소초면 북원로 3116,bus_stop,platform,원주시
37.375331,127.996897,파인밸리,강원도 원주시 소초면 황골로 266,bus_stop,platform,원주시
37.379753,128.002469,하초구,강원도 원주시 소초면 하초구길 60,bus_stop,platform,원주시
37.404763,127.965492,하촌,강원도 원주시 소초면 장수1로 85,bus_stop,platform,원주시
37.404853,127.965599,하촌,강원도 원주시 소초면 장수1로 85,bus_stop,platform,원주시
37.439632,128.050523,학곡1리,강원도 원주시 소초면 치악로 3371-1,bus_stop,platform,원주시
37.439466,128.050449,학곡1리,강원도 원주시 소초면 치악로 3371-1,bus_stop,platform,원주시
37.438135,128.054997,학곡저수지,강원도 원주시 소초면 치악로 3424,bus_stop,platform,원주시
37.437968,128.057236,학곡리,강원도 원주시 소초면 서동로 8,bus_stop,platform,원주시
37.437152,128.057194,학곡보건소앞,강원도 원주시 소초면 구룡사로 5,bus_stop,platform,원주시
37.438323,128.055032,학곡저수지,강원도 원주시 소초면 치악로 3421,bus_stop,platform,원주시
37.440291,128.053244,학곡저수지앞,강원도 원주시 소초면 치악로 3391,bus_stop,platform,원주시
37.42074,128.003197,현촌,강원도 원주시 소초면 치악로 2828,bus_stop,platform,원주시
37.365255,128.00375,황골,강원도 원주시 소초면 황골로 398,bus_stop,platform,원주시
37.388813,127.979556,회촌,강원도 원주시 소초면 치악로 2403,bus_stop,platform,원주시
37.381467,127.995851,흥양2리,강원도 원주시 소초면 황골로 181,bus_stop,platform,원주시
37.378533,127.994879,흥양교,강원도 원주시 소초면 황골로 218,bus_stop,platform,원주시
37.378351,127.994929,흥양교,강원도 원주시 소초면 황골로 218,bus_stop,platform,원주시
37.381818,127.972184,흥양삼거리,강원도 원주시 소초면 송문2길 17-1,bus_stop,platform,원주시
37.381677,127.97218,흥양삼거리,강원도 원주시 소초면 흥양로 240,bus_stop,platform,원주시
37.392464,127.894353,간무곡,강원도 원주시 호저면 간무곡길 2,bus_stop,platform,원주시
37.459897,127.924173,개전동정류장,강원도 원주시 호저면 호저로 1047,bus_stop,platform,원주시
37.399372,127.89184,고여대,강원도 원주시 호저면 신무로 534,bus_stop,platform,원주시
37.397219,127.890967,고여대앞,강원도 원주시 호저면 신무로 508,bus_stop,platform,원주시
37.466886,127.917691,고산낚시터,강원도 원주시 호저면 호저로 1140,bus_stop,platform,원주시
37.446948,127.928591,고산초교,강원도 원주시 호저면 호저로 883,bus_stop,platform,원주시
37.449005,127.929507,광격리입구,강원도 원주시 호저면 광학로 5,bus_stop,platform,원주시
37.424881,127.938655,대덕리,강원도 원주시 호저면 대덕길 140,bus_stop,platform,원주시
37.432496,127.927719,대덕리입구,강원도 원주시 호저면 호저로 709-7,bus_stop,platform,원주시
37.361118,127.910615,대명원,강원도 원주시 호저면 하만종3길 1,bus_stop,platform,원주시
37.361371,127.911161,대명원,강원도 원주시 호저면 원문로 437,bus_stop,platform,원주시
37.353027,127.898994,대보아파트,강원도 원주시 호저면 원문로 638,bus_stop,platform,원주시
37.352961,127.899341,대보아파트,강원도 원주시 호저면 원문로 641,bus_stop,platform,원주시
37.361135,127.914833,도시가스(예비군훈련장),강원도 원주시 호저면 원문로 395,bus_stop,platform,원주시
37.361312,127.915468,도시가스(예비군훈련장),강원도 원주시 호저면 우무개로 406,bus_stop,platform,원주시
37.466465,127.932367,동막,강원도 원주시 호저면 고산동막길 111,bus_stop,platform,원주시
37.467325,127.933219,동막종점,강원도 원주시 호저면 고산동막길 121-5,bus_stop,platform,원주시
37.416,127.883661,마을회관앞,강원도 원주시 호저면 매호로 143,bus_stop,platform,원주시
37.350186,127.897017,만종가구단지,강원도 원주시 호저면 원문로 686,bus_stop,platform,원주시
37.356868,127.902238,만종초등학교,강원도 원주시 호저면 상봉길 5,bus_stop,platform,원주시
37.355542,127.900782,만종초등학교,강원도 원주시 호저면 원문로 606,bus_stop,platform,원주시
37.421198,127.895817,매호,강원도 원주시 호저면 매호로 278,bus_stop,platform,원주시
37.416725,127.892804,매호마을,강원도 원주시 호저면 매호로 222,bus_stop,platform,원주시
37.414109,127.895583,무장2리,강원도 원주시 호저면 신무로 728,bus_stop,platform,원주시
37.417285,127.896964,무장2리마을회관,강원도 원주시 호저면 신무로 768-1,bus_stop,platform,원주시
37.417318,127.896867,무장2리마을회관,강원도 원주시 호저면 신무로 768-1,bus_stop,platform,원주시
37.415183,127.923826,문화마을,강원도 원주시 호저면 호저문화1길 2,bus_stop,platform,원주시
37.412781,127.876827,물구리,강원도 원주시 호저면 매호로 72,bus_stop,platform,원주시
37.41425,127.879689,물구리,강원도 원주시 호저면 매호로 97,bus_stop,platform,원주시
37.45601,127.924733,병골,강원도 원주시 호저면 호저로 995,bus_stop,platform,원주시
37.452568,127.891382,봉바위계곡,강원도 원주시 호저면 칠봉로 756,bus_stop,platform,원주시
37.452686,127.891112,봉바위계곡,강원도 원주시 호저면 칠봉로 756,bus_stop,platform,원주시
37.360107,127.919282,사랑의집,강원도 원주시 원문로 336-8,bus_stop,platform,원주시
37.319286,127.831062,건등리,강원도 원주시 문막읍 원문로 1622,bus_stop,platform,원주시
37.293328,127.991351,실버요양원,강원도 원주시 판부면 치악로 1125,bus_stop,platform,원주시
37.302023,127.94444,안중천,강원도 원주시 판부면 서곡길 237,bus_stop,platform,원주시
37.263445,128.032758,애신분교,강원도 원주시 판부면 치악로 604,bus_stop,platform,원주시
37.319795,127.93969,오페라 웨딩홀,강원도 원주시 판부면 남원로 380-1,bus_stop,platform,원주시
37.321069,127.939588,오페라웨딩홀,강원도 원주시 판부면 남원로 395,bus_stop,platform,원주시
37.292948,127.940313,외동막,강원도 원주시 판부면 용수골길 223,bus_stop,platform,원주시
37.293135,127.940459,외동막,강원도 원주시 판부면 서곡길 346,bus_stop,platform,원주시
37.26525,128.027284,원동,강원도 원주시 판부면 치악로 660,bus_stop,platform,원주시
37.264881,128.027762,원동,강원도 원주시 판부면 치악로 654,bus_stop,platform,원주시
37.314686,127.942146,원주화교소학교,강원도 원주시 판부면 내남송길 50,bus_stop,platform,원주시
37.284571,127.997616,음금대,강원도 원주시 판부면 치악로 1027-1,bus_stop,platform,원주시
37.263454,128.030476,치악산휴양림,강원도 원주시 판부면 치악로 608,bus_stop,platform,원주시
37.270676,128.018881,회론동앞,강원도 원주시 판부면 치악로 763,bus_stop,platform,원주시
37.251433,128.083222,가둔지,강원도 원주시 신림면 성남로 84,bus_stop,platform,원주시
37.408072,127.895717,생담,강원도 원주시 호저면 신무로 644,bus_stop,platform,원주시
37.476992,127.919485,선바위,강원도 원주시 호저면 호저로 1261-4,bus_stop,platform,원주시
37.443442,127.927431,송골,강원도 원주시 호저면 호저로 834-8,bus_stop,platform,원주시
37.443726,127.927527,송골앞,강원도 원주시 호저면 호저로 834-8,bus_stop,platform,원주시
37.461514,127.924883,송이골앞,강원도 원주시 호저면 고산동막길 15-3,bus_stop,platform,원주시
37.394439,127.880779,송정,강원도 원주시 호저면 신평석화로 157-8,bus_stop,platform,원주시
37.4255,127.893954,안골정류장,강원도 원주시 호저면 산현안골길 2,bus_stop,platform,원주시
37.429924,127.923056,옥산,강원도 원주시 호저면 호저로 660,bus_stop,platform,원주시
37.451926,127.888151,용곡마을회관,강원도 원주시 호저면 칠봉로 723,bus_stop,platform,원주시
37.419409,127.902323,장포,강원도 원주시 호저면 칠봉로 236-1,bus_stop,platform,원주시
37.419945,127.898825,장포,강원도 원주시 호저면 칠봉로 268,bus_stop,platform,원주시
37.419825,127.898396,장포,강원도 원주시 호저면 살미길 10,bus_stop,platform,원주시
37.410403,127.893385,장포암,강원도 원주시 호저면 신무로 679,bus_stop,platform,원주시
37.425602,127.93806,잿말,강원도 원주시 호저면 대덕길 133,bus_stop,platform,원주시
37.439895,127.926066,정골앞,강원도 원주시 호저면 옥산정골길 19-1,bus_stop,platform,원주시
37.439803,127.925962,정골입구,강원도 원주시 호저면 옥산정골길 19-1,bus_stop,platform,원주시
37.408386,127.928607,주산1리,강원도 원주시 호저면 호저로 389,bus_stop,platform,원주시
37.41353,127.919549,주산교,강원도 원주시 호저면 칠봉로 42,bus_stop,platform,원주시
37.402302,127.931756,중방마을,강원도 원주시 호저면 자은동길 5,bus_stop,platform,원주시
37.401078,127.930322,중방,강원도 원주시 호저면 중방길 6,bus_stop,platform,원주시
37.401053,127.930152,중방,강원도 원주시 호저면 중방길 6,bus_stop,platform,원주시
37.43577,127.92741,지촌앞,강원도 원주시 호저면 호저로 755-2,bus_stop,platform,원주시
37.440548,127.889424,칠봉,강원도 원주시 호저면 칠봉로 551,bus_stop,platform,원주시
37.440576,127.889054,칠봉유원지,강원도 원주시 호저면 칠봉로 546,bus_stop,platform,원주시
37.425773,127.921397,평촌동,강원도 원주시 호저면 호저로 612,bus_stop,platform,원주시
37.469712,127.918002,하늘마루펜션앞,강원도 원주시 호저면 호저로 1181-11,bus_stop,platform,원주시
37.41775,127.923113,학교정류장,강원도 원주시 호저면 호저로 504,bus_stop,platform,원주시
37.396797,127.922128,호매곡종점,강원도 원주시 호저면 호매곡1길 144,bus_stop,platform,원주시
37.396586,127.922519,호매곡종점,강원도 원주시 호저면 호매곡1길 140,bus_stop,platform,원주시
37.420515,127.921138,호저낚시터,강원도 원주시 호저면 평천1길 13,bus_stop,platform,원주시
37.420375,127.921008,호저낚시터,강원도 원주시 호저면 평천1길 13,bus_stop,platform,원주시
37.411295,127.925847,호저농협,강원도 원주시 호저면 호저로 431,bus_stop,platform,원주시
37.411268,127.925673,호저농협,강원도 원주시 호저면 호저로 431,bus_stop,platform,원주시
