위도,경도,name,highway,public_transport,operator
37.749689,128.911799,더샵아파트,bus_stop,platform,강릉시
37.749895,128.912198,더샵아파트,bus_stop,platform,강릉시
37.806698,128.834182,덕실리,bus_stop,platform,강릉시
37.628564,128.969039,덕우동,bus_stop,platform,강릉시
37.625909,128.973047,덕우동,bus_stop,platform,강릉시
37.626025,128.973021,덕우동,bus_stop,platform,강릉시
37.702502,128.841841,덕중상사입구,bus_stop,platform,강릉시
37.70242,128.841765,덕중상사입구,bus_stop,platform,강릉시
37.705252,128.926243,덕현리,bus_stop,platform,강릉시
37.710279,128.929768,덕현리마을회관,bus_stop,platform,강릉시
37.710355,128.929684,덕현리마을회관,bus_stop,platform,강릉시
37.71393,128.933758,덕현리입구,bus_stop,platform,강릉시
37.713971,128.93365,덕현리입구,bus_stop,platform,강릉시
37.8798,128.833633,도깨비촬영지,bus_stop,platform,강릉시
37.879656,128.833585,도깨비촬영지,bus_stop,platform,강릉시
37.675877,128.835706,도마1리경로당,bus_stop,platform,강릉시
37.675913,128.835823,도마1리경로당,bus_stop,platform,강릉시
37.763588,128.901623,도시보건지소,bus_stop,platform,강릉시
37.763858,128.901585,도시보건지소,bus_stop,platform,강릉시
37.608633,129.068161,도직리,bus_stop,platform,강릉시
37.608683,129.068331,도직리입구,bus_stop,platform,강릉시
37.57583,128.798889,도화목이,bus_stop,platform,강릉시
37.575858,128.799003,도화목이,bus_stop,platform,강릉시
37.714555,128.988959,동광주유소,bus_stop,platform,강릉시
37.714501,128.988866,동광주유소,bus_stop,platform,강릉시
37.716992,128.961125,동그린,bus_stop,platform,강릉시
37.716961,128.961248,동그린,bus_stop,platform,강릉시
37.764693,128.908797,동남아파트,bus_stop,platform,강릉시
37.777234,128.916341,동명중학교,bus_stop,platform,강릉시
37.776565,128.916083,동명중학교,bus_stop,platform,강릉시
37.784016,128.91515,동부A,bus_stop,platform,강릉시
37.759469,128.900652,동부시장,bus_stop,platform,강릉시
37.731028,128.950335,동양석재,bus_stop,platform,강릉시
37.731238,128.950297,동양석재,bus_stop,platform,강릉시
37.850532,128.804638,동양시멘트입구,bus_stop,platform,강릉시
37.850634,128.804623,동양시멘트입구,bus_stop,platform,강릉시
37.771288,128.909537,동인병원입구,bus_stop,platform,강릉시
37.771044,128.909518,동인병원입구,bus_stop,platform,강릉시
37.724589,128.898458,동해식품,bus_stop,platform,강릉시
37.667264,128.840337,둔지마을,bus_stop,platform,강릉시
37.667253,128.840208,둔지마을,bus_stop,platform,강릉시
