위도,경도,public_transport,bus,operator,name,passenger_information_display
37.7509167,127.1178833,platform,yes,경기도 의정부시,무지랭이약수터,yes
37.7376833,127.0351333,platform,yes,경기도 의정부시,시청.소방서,yes
37.7046833,127.0481,platform,yes,경기도 의정부시,호원고등학교입구(마을),yes
37.7150833,127.0463667,platform,yes,경기도 의정부시,회룡중학교입구,yes
37.7356833,127.0394,platform,yes,경기도 의정부시,보건소,yes
37.7385833,127.0444833,platform,yes,경기도 의정부시,의정부역.신세계백화점,yes
37.74395,127.0617333,platform,yes,경기도 의정부시,신명벽산아파트.백병원,yes
37.7524833,127.1131,platform,yes,경기도 의정부시,송양초.민락센트럴17단지앞,yes
37.7441667,127.0615833,platform,yes,경기도 의정부시,신명아파트.백병원앞,yes
37.7530833,127.11305,platform,yes,경기도 의정부시,송양초등학교,yes
37.7453333,127.0991,platform,yes,경기도 의정부시,송산초교.상가단지,yes
37.7453167,127.0993833,platform,yes,경기도 의정부시,송산초교.상가단지,yes
37.74775,127.0682,platform,yes,경기도 의정부시,과학도서관,yes
37.7452,127.0262333,platform,yes,경기도 의정부시,경민대학,yes
37.7411833,127.0469667,platform,yes,경기도 의정부시,의정부역.흥선지하도입구,yes
37.7548333,127.1131833,platform,yes,경기도 의정부시,양지마을후문입구,yes
37.7462333,127.1062833,platform,yes,경기도 의정부시,송산사지.송민학교입구,yes
37.7470667,127.1077,platform,yes,경기도 의정부시,송산사지.송민학교입구,yes
37.7312667,127.0832667,platform,yes,경기도 의정부시,솔뫼중학교.만가대,yes
37.7373333,127.0680167,platform,yes,경기도 의정부시,이편한세상신곡파크비스타,yes
37.7370167,127.0676833,platform,yes,경기도 의정부시,이편한세상신곡파크비스타,yes
37.7594333,127.0411667,platform,yes,경기도 의정부시,녹양역서부광장,yes
37.7598667,127.0417667,platform,yes,경기도 의정부시,녹양역서부광장,yes
37.7482833,127.0647,platform,yes,경기도 의정부시,드림밸리아파트.새말역,yes
37.7441,127.0522667,platform,yes,경기도 의정부시,파발교차로.의정부연세요양병원,yes
37.7452167,127.0509167,platform,yes,경기도 의정부시,한전입구,yes
37.7499667,127.0797,platform,yes,경기도 의정부시,의정부세관,yes
37.7498833,127.07955,platform,yes,경기도 의정부시,의정부세관,yes
37.7117,127.04745,platform,yes,경기도 의정부시,안말입구.망월사역북문(마을),yes
37.7117667,127.0477,platform,yes,경기도 의정부시,안말입구.망월사역북문(마을),yes
37.7469833,127.03065,platform,yes,경기도 의정부시,흥선동행정복지센터,yes
37.7283167,127.048,platform,yes,경기도 의정부시,의정부교앞,yes
37.7425167,127.1007833,platform,yes,경기도 의정부시,이마트,yes
37.7431333,127.1017,platform,yes,경기도 의정부시,이마트,yes
37.7555,127.1156333,platform,yes,경기도 의정부시,용암마을16단지.민락라디언트캐슬,yes
37.7523333,127.1105333,platform,yes,경기도 의정부시,양지마을8단지.민락푸르지오아파트,yes
37.75235,127.1038667,platform,yes,경기도 의정부시,송양중학교.반도유보라아이비파크,yes
37.7482833,127.1000667,platform,yes,경기도 의정부시,부용마을아파트정문,yes
37.7438,127.0962333,platform,yes,경기도 의정부시,산들마을2단지,yes
37.7442333,127.09605,platform,yes,경기도 의정부시,산들마을2단지,yes
37.7488,127.1001,platform,yes,경기도 의정부시,부용마을아파트정문,yes
37.7520833,127.1040333,platform,yes,경기도 의정부시,송양중학교.반도유보라아이비파크,yes
37.7546667,127.1089167,platform,yes,경기도 의정부시,벌말.송양고.양지마을아파트,yes
37.7546167,127.1081167,platform,yes,경기도 의정부시,벌말.송양고.양지마을아파트,yes
37.7520833,127.1101,platform,yes,경기도 의정부시,양지마을8단지.민락푸르지오아파트,yes
37.7548,127.1164,platform,yes,경기도 의정부시,민락센트럴아파트.용암마을15단지,yes
37.7504667,127.117,platform,yes,경기도 의정부시,호반베르디움18단자앞,yes
