위도,경도,name,operator,source:date
37.87608,127.72096,춘천초등학교,춘천시,2019-11-27
37.87621,127.72084,춘천시보건소,춘천시,2019-11-27
37.87404,127.71703,엘타워/미소지움,춘천시,2019-11-27
37.87398,127.7181,춘천중학교정문,춘천시,2019-11-27
37.87487,127.71718,춘천중학교,춘천시,2019-11-27
37.87527,127.71769,춘천중학교,춘천시,2019-11-27
37.8401,127.75865,학곡2리,춘천시,2019-11-27
37.84021,127.75882,학곡2리,춘천시,2019-11-27
37.87507,127.72986,현진에버빌3차,춘천시,2019-11-27
37.885,127.7177,춘천역환승센터,춘천시,2019-11-27
37.88164,127.73258,춘천시청별관,춘천시,2019-11-27
37.88147,127.73294,춘천시청별관,춘천시,2019-11-27
37.92758,127.75166,춘천한샘후문,춘천시,2019-11-27
37.92827,127.75154,춘천한샘후문,춘천시,2019-11-27
37.92539,127.75205,춘천한샘고등학교,춘천시,2019-11-27
37.92521,127.7511,춘천한샘고등학교,춘천시,2019-11-27
37.86465,127.75281,박물관후문,춘천시,2019-11-27
37.86477,127.75269,박물관입구,춘천시,2019-11-27
37.86365,127.75129,춘천박물관,춘천시,2019-11-27
37.86354,127.75089,박물관앞,춘천시,2019-11-27
37.97423,127.66654,춘천댐종점,춘천시,2019-11-27
37.97401,127.66642,춘천댐종점,춘천시,2019-11-27
37.96806,127.67119,춘천댐,춘천시,2019-11-27
37.88365,127.72328,춘천농협,춘천시,2019-11-27
37.88446,127.72337,춘천농협,춘천시,2019-11-27
37.90775,127.72374,소양고등학교,춘천시,2019-11-27
37.90781,127.72351,소양고등학교,춘천시,2019-11-27
37.8905,127.74616,기계공고,춘천시,2019-11-27
37.89249,127.74868,후평1동,춘천시,2019-11-27
37.89111,127.74893,춘천기계공고,춘천시,2019-11-27
37.89145,127.74908,기계공고,춘천시,2019-11-27
37.93503,127.72541,신동삼거리,춘천시,2019-11-27
37.93483,127.72444,신동삼거리,춘천시,2019-11-27
37.84889,127.7555,춘천교도소입구,춘천시,2019-11-27
37.849,127.75555,춘천교도소입구,춘천시,2019-11-27
37.84883,127.75828,춘천교도소,춘천시,2019-11-27
37.85823,127.7464,교육대학교,춘천시,2019-11-27
37.85718,127.7471,교육대학교,춘천시,2019-11-27
37.94462,127.78427,천전1리,춘천시,2019-11-27
37.94422,127.78422,천전1리,춘천시,2019-11-27
37.86961,127.72427,춘천경찰서,춘천시,2019-11-27
38.02421,127.88316,추곡초교,춘천시,2019-11-27
