위도,경도,highway,public_transport,bus,name,addr:full,source,source:date
37.048998,128.172335,bus_stop,platform,yes,월굴리,충청북도 제천시 금성면 월굴리 92-8,공공데이터포털,2020-04-28
37.049999,128.171797,bus_stop,platform,yes,월굴리,충청북도 제천시 금성면 월굴리 92-14,공공데이터포털,2020-04-28
37.072758,128.180643,bus_stop,platform,yes,월림리,충청북도 제천시 금성면 월림리 227-12,공공데이터포털,2020-04-28
37.072884,128.180677,bus_stop,platform,yes,월림리,충청북도 제천시 금성면 월림리 221-6,공공데이터포털,2020-04-28
37.074538,128.188925,bus_stop,platform,yes,월림리,충청북도 제천시 금성면 월림리 154-7,공공데이터포털,2020-04-28
37.075083,128.19744,bus_stop,platform,yes,양화리,충청북도 제천시 금성면 양화리 594-10,공공데이터포털,2020-04-28
37.082756,128.205322,bus_stop,platform,yes,양화리,충청북도 제천시 금성면 양화리 415-4,공공데이터포털,2020-04-28
37.086856,128.205468,bus_stop,platform,yes,양화리,충청북도 제천시 금성면 양화리 444-5,공공데이터포털,2020-04-28
37.08792,128.205168,bus_stop,platform,yes,양화리,충청북도 제천시 금성면 양화리 460,공공데이터포털,2020-04-28
37.078742,128.20782,bus_stop,platform,yes,양화리(가스공사 중간밸브 앞),충청북도 제천시 금성면 양화리 264,공공데이터포털,2020-04-28
37.078742,128.20782,bus_stop,platform,yes,양화리(가스공사 중간밸브 앞),충청북도 제천시 금성면 양화리 264,공공데이터포털,2020-04-28
37.078865,128.214118,bus_stop,platform,yes,양화리 길마재,충청북도 제천시 금성면 양화리 910,공공데이터포털,2020-04-28
37.142032,128.017939,bus_stop,platform,yes,평동1리 백운중학교 앞,충청북도 제천시 백운면 평동리 573-1,공공데이터포털,2020-04-28
37.151179,128.011885,bus_stop,platform,yes,방학리(궁평교 앞 사거리),충청북도 제천시 백운면 방학리 663-3,공공데이터포털,2020-04-28
37.150603,128.010331,bus_stop,platform,yes,방학1리 (백운방향),충청북도 제천시 백운면 방학리 665-6,공공데이터포털,2020-04-28
37.164571,127.996641,bus_stop,platform,yes,꼴미 입구(도곡1리),충청북도 제천시 백운면 도곡리497-2,공공데이터포털,2020-04-28
37.167085,127.995042,bus_stop,platform,yes,도장골 입구,충청북도 제천시 백운면 도곡리865-5,공공데이터포털,2020-04-28
37.115851,128.030862,bus_stop,platform,yes,응평리(경로당) 앞,충청북도 제천시 백운면 애련리654-1,공공데이터포털,2020-04-28
37.136077,127.998477,bus_stop,platform,yes,원월리,충청북도 제천시 백운면 원월리 418,공공데이터포털,2020-04-28
37.128165,127.998162,bus_stop,platform,yes,원월리,충청북도 제천시 백운면 원월리 703-12,공공데이터포털,2020-04-28
37.114494,128.00668,bus_stop,platform,yes,대월 종점,충청북도 제천시 백운면 원월리879-49,공공데이터포털,2020-04-28
37.156821,128.009285,bus_stop,platform,yes,원박리(원박사거리 백운방면),충청북도 제천시 백운면 원박리 983,공공데이터포털,2020-04-28
37.216774,128.004381,bus_stop,platform,yes,거문골,충청북도 제천시 백운면 운학리 340,공공데이터포털,2020-04-28
37.216774,128.004381,bus_stop,platform,yes,거문골,충청북도 제천시 백운면 운학리 340,공공데이터포털,2020-04-28
37.184,127.993127,bus_stop,platform,yes,덕동(점골) 앞,충청북도 제천시 백운면 덕동리33-5,공공데이터포털,2020-04-28
37.184,127.993127,bus_stop,platform,yes,덕동(점골) 앞,충청북도 제천시 백운면 덕동리33-5,공공데이터포털,2020-04-28
37.191506,127.998082,bus_stop,platform,yes,덕동(덕동교 위) ,충청북도 제천시 백운면 덕동리4-6,공공데이터포털,2020-04-28
37.191506,127.998082,bus_stop,platform,yes,덕동(덕동교 위) ,충청북도 제천시 백운면 덕동리4-6,공공데이터포털,2020-04-28
37.202273,127.979179,bus_stop,platform,yes,덕동리,충청북도 제천시 백운면 덕동리 134,공공데이터포털,2020-04-28
37.20203,127.979134,bus_stop,platform,yes,덕동리,충청북도 제천시 백운면 덕동리 134-18,공공데이터포털,2020-04-28
37.145567,128.04328,bus_stop,platform,yes,박달재휴양림 앞(국도변),충청북도 제천시 백운면 평동리 산79-14,공공데이터포털,2020-04-28
37.145567,128.04328,bus_stop,platform,yes,박달재휴양림 앞(국도변),충청북도 제천시 백운면 평동리 산79-14,공공데이터포털,2020-04-28
37.172165,127.97109,bus_stop,platform,yes,화당2리 대호지(대호지 방향),충청북도 제천시 백운면 화당2리 299-2,공공데이터포털,2020-04-28
37.172165,127.97109,bus_stop,platform,yes,화당2리 대호지(백운 방향),충청북도 제천시 백운면 화당2리 299-2,공공데이터포털,2020-04-28
37.173351,127.960707,bus_stop,platform,yes,화당2리 다목적회관(회관 방향),충청북도 제천시 백운면 화당2리 468,공공데이터포털,2020-04-28
