위도,경도,public_transport,bus,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.55905,129.10381,platform,yes,묵호여중(발한.시청방면),,2020-11-24,,,354-10,발한동,,,
37.55976,129.10363,platform,yes,묵호여중(옥계방면),,2020-11-24,,,363-2,발한동,,,
37.54714,129.10613,platform,yes,동해프라자(시청.북평방면),,2020-11-24,,,219-33,발한동,,,
37.54696,129.10638,platform,yes,동해프라자(발한.옥계방면),,2020-11-24,,,219-3,발한동,,,
37.55903,129.11317,platform,yes,묵호LH아파트(발한.시청방면),,2020-11-24,,,1-120,묵호진동,,,
37.55887,129.11272,platform,yes,묵호LH아파트(묵호등대방면),,2020-11-24,,,1-80,묵호진동,,,
37.55051,129.10972,platform,yes,조은내과앞(발한.시청방면),,2020-11-24,,,3-10,발한동,,,
37.55064,129.11012,platform,yes,항만입구(대진방면),,2020-11-24,,,4-9,발한동,,,
37.49566,129.10287,platform,yes,북삼주민공원(한중대방면),,2020-11-24,,,86-13,지흥동,,,
37.49541,129.10299,platform,yes,미미문구(대동.시청방면),,2020-11-24,,,87-5,지흥동,,,
37.56377,129.11937,platform,yes,마을슈퍼(발한.시청방면),,2020-11-24,,,188-33,어달동,,,
37.56383,129.11943,platform,yes,민박식당(대진방면),,2020-11-24,,,188-33,어달동,,,
37.51763,129.11428,platform,yes,박정형외과앞(북평.대동방면),강원도 동해시 천곡동 산61-6,2020-11-24,,,,천곡동,,,
37.51782,129.11413,platform,yes,혜원빌라입구(시청.발한방면),,2020-11-24,,,1010-18,천곡동,,,
37.54868,129.10869,platform,yes,발한삼거리(시청.북평방면),,2020-11-24,,,32-17,발한동,,,
37.54856,129.10896,platform,yes,우리은행앞(옥계방면),,2020-11-24,,,39-27,발한동,,,
37.53848,129.10454,platform,yes,방열창고(시청.북평방면),,2020-11-24,,,81-2,부곡동,,,
37.53876,129.10392,platform,yes,방열창고(발한.망상방면),,2020-11-24,,,79-16,부곡동,,,
37.48024,129.11044,platform,yes,배골경로당(삼화.무릉방면),,2020-11-24,,,290-2,이도동,,,
37.48022,129.11024,platform,yes,배골(북평.시청방면),,2020-11-24,,,290-2,이도동,,,
37.51187,129.12523,platform,yes,범주성지아파트(북평.대동방면),,2020-11-24,,,261-11,용정동,,,
37.51294,129.12518,platform,yes,범주성지아파트(시청.발한방면),,2020-11-24,,,503-3,용정동,,,
37.49235,129.11236,platform,yes,효가동변전소(북평.삼척방면),,2020-11-24,,,128-9,효가동,,,
37.49264,129.11246,platform,yes,효가동변전소(시청.발한방면),,2020-11-24,,,126-10,효가동,,,
37.50994,129.11882,platform,yes,봉오동(북평.대동방면),강원도 동해시 용정동 산27-9,2020-11-24,,,,용정동,,,
37.50997,129.11895,platform,yes,봉오동(시청.발한방면),강원도 동해시 용정동 산27-6,2020-11-24,,,,용정동,,,
37.53659,129.11251,platform,yes,동해교육도서관(시청.북평방면),,2020-11-24,,,48-5,부곡동,,,
37.53707,129.11224,platform,yes,동해교육도서관(발한.망상방면),,2020-11-24,,,43-1,부곡동,,,
37.53922,129.10156,platform,yes,부곡파출소(시청.북평방면),,2020-11-24,,,66-22,부곡동,,,
37.53937,129.10194,platform,yes,부곡삼거리(발한.옥계방면),,2020-11-24,,,597-18,발한동,,,
37.49164,129.10393,platform,yes,북삼도서관(무릉.신흥방면),,2020-11-24,,,234-5,동회동,,,
