위 도,경 도,internet_access,internet_access:fee,internet_access:operator,start_date,addr:full,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.5112756,126.896078,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  355 (대암로 126),,대암로,355,대방동,,,
35.124053,128.483221,wlan,no,KT,2020-06-01,경상남도 창원시 진북면 덕곡리 덕곡덕기길 87,,덕곡덕기길,87,진북면,,,
35.2209962,128.6926338,wlan,no,KT,2020-06-01,경상남도 창원시 사파동  142 (신사로 106),,신사로,142,사파동,,,
35.22041,128.695848,wlan,no,KT,2020-06-01,경상남도 창원시 사파동  142 (신사로 106),,신사로,142,사파동,,,
35.2186673,128.6922791,wlan,no,KT,2020-06-01,경상남도 창원시 사파동  148 (동산로 148),,동산로,148,사파동,,,
35.2186586,128.6922791,wlan,no,KT,2020-06-01,경상남도 창원시 사파동  147 (원이대로773번길 13),,원이대로773번길,147,사파동,,,
35.2160576,128.7040665,wlan,no,KT,2020-06-01,,,창이대로,781,대방동,,,
35.0850891,128.7438675,wlan,no,KT,2020-06-01,,,수도로,30,수도동,,,
35.097944,128.821539,wlan,no,KT,2020-06-01,,,용원로,114,용원동,,,
35.144575,128.661167,wlan,no,KT,2020-06-01,,,태평로34번길,17,인의동,,,
35.193497,128.510842,wlan,no,LGU+,2020-06-01,,,감나무골길,187,내서읍,,,
35.205359,128.517217,wlan,no,LGU+,2020-06-01,,,감천로,78,내서읍,,,
35.223781,128.501931,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 광려로 28,(삼계대동이미지1차아파트)",,광려로,28,내서읍,,,
35.235002,128.503819,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계10길 22,(삼계1주공아파트)",,삼계10길,22,내서읍,,,
35.229231,128.503925,wlan,no,LGU+,2020-06-01,경상남도 창원시 마산회원구 내서읍 삼계2길 24(삼계2주공아파트),,삼계2길,24,내서읍,,,
35.229586,128.504171,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계2길 31,(삼계대동다숲아파트)",,삼계2길,31,내서읍,,,
35.233875,128.499451,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계8길 31,(화성아파트)",,삼계8길,31,내서읍,,,
35.237721,128.486729,wlan,no,LGU+,2020-06-01,,,삼계로,194,내서읍,,,
35.231818,128.496601,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계본동1길 86,(숲속마을주공3단지 아파트)",,삼계본동1길,86,내서읍,,,
35.231335,128.500231,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계숲길 3-1,삼계회관",,삼계숲길,,내서읍,,,
35.233328,128.503002,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼풍로 82,(삼계현대아파트)",,삼풍로,82,내서읍,,,
35.229697,128.497074,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 숲속로 30,(숲속마을주공5단지아파트)",,숲속로,30,내서읍,,,
35.23107,128.496918,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 숲속로 6,(숲속마을주공4단지아파트)",,숲속로,6,내서읍,,,
35.242656,128.501324,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 상곡로 35,(가고파아파트)",,상곡로,35,내서읍,,,
35.191877,128.496344,wlan,no,LGU+,2020-06-01,,,신목길,19-1,내서읍,,,
35.215263,128.504698,wlan,no,LGU+,2020-06-01,,,전안길,23,내서읍,,,
35.265142,128.551229,wlan,no,LGU+,2020-06-01,,,안성로,150,내서읍,,,
35.270782,128.500606,wlan,no,LGU+,2020-06-01,,,수곡로,92-1,내서읍,,,
35.264406,128.499325,wlan,no,LGU+,2020-06-01,,,용담로,177,내서읍,,,
35.230759,128.509125,wlan,no,LGU+,2020-06-01,,,원계증산길,78,내서읍,,,
35.226715,128.504617,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계1길 18,(한우리아파트2단지)",,삼계1길,18,내서읍,,,
35.228081,128.504303,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계1길 32,(한우리아파트1단지)",,삼계1길,32,내서읍,,,
35.243283,128.498907,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 상곡로 49,상곡주공아파트1단지",,상곡로,,내서읍,,,
35.243578,128.502221,wlan,no,LGU+,2020-06-01,,,상곡안길,33-3,내서읍,,,
35.245915,128.506862,wlan,no,LGU+,2020-06-01,,,상동길,7,내서읍,,,
35.23966,128.510212,wlan,no,LGU+,2020-06-01,,,신평로,35,내서읍,,,
35.249068,128.522421,wlan,no,LGU+,2020-06-01,,,옥정1길,15,내서읍,,,
35.241146,128.531462,wlan,no,LGU+,2020-06-01,,,윗구슬길,56-4,내서읍,,,
35.255754,128.509792,wlan,no,LGU+,2020-06-01,,,죽암로,19-1,내서읍,,,
35.242964,128.527954,wlan,no,LGU+,2020-06-01,,,중리공단로,227-30,내서읍,,,
35.241597,128.5349,wlan,no,LGU+,2020-06-01,,,중리본동길,6,내서읍,,,
35.248744,128.497131,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 중리상곡로 114,(동신아파트1차)",,중리상곡로,114,내서읍,,,
35.25062,128.491698,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 중리상곡로 134,(동신2차아파트)",,중리상곡로,134,내서읍,,,
35.242432,128.503016,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 중리상곡로 18,(장미아파트)",,중리상곡로,18,내서읍,,,
