위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.450195,126.9145044,휴게음식점,지에스25성산고성점,제주특별자치도 서귀포시 성산읍 고성오조로 73 1층,제주특별자치도 서귀포시 성산읍 고성리 1197번지 8호 ,2018-02-23
33.2560492,126.5723584,휴게음식점,씨유서귀동홍대림점,제주특별자치도 서귀포시 동홍중앙로 58-1 1층 (동홍동),제주특별자치도 서귀포시 동홍동 437번지 3호 ,2018-02-23
33.2589211,126.3537935,휴게음식점,감산휴게마트,제주특별자치도 서귀포시 안덕면 감산중로 34,제주특별자치도 서귀포시 안덕면 감산리 373번지 9호 외2필지 ,2018-02-23
33.4635831,126.933817,휴게음식점,씨유제주성산중앙로점,제주특별자치도 서귀포시 성산읍 성산중앙로 44,제주특별자치도 서귀포시 성산읍 성산리 182번지 5호 ,2018-02-23
33.2615636,126.49447,휴게음식점,제주맛드림, ,제주특별자치도 서귀포시 강정동 1423번지 1호 ,2018-02-23
33.2812109,126.7340308,휴게음식점,무인카페등대,제주특별자치도 서귀포시 남원읍 남태해안로 145 1층,제주특별자치도 서귀포시 남원읍 남원리 91번지 18호 ,2018-02-23
33.2439871,126.5677702,휴게음식점,세븐일레븐 서귀포송산점,제주특별자치도 서귀포시 칠십리로 139 (서귀동),  ,2018-02-23
33.255487,126.5686054,휴게음식점,참좋은슈퍼분식,제주특별자치도 서귀포시 일주동로 8806 (서홍동),제주특별자치도 서귀포시 서홍동 1348번지 ,2018-02-23
33.258388,126.57472,휴게음식점,에브리데이,제주특별자치도 서귀포시 동홍동로 37 1층 (동홍동),제주특별자치도 서귀포시 동홍동 79번지 1호 ,2018-02-23
33.2489663,126.5216984,휴게음식점,씨유서귀포부영점,제주특별자치도 서귀포시 서호남로 91 상가동 101호 (서호동),제주특별자치도 서귀포시 서호동 1534번지 ,2018-02-23
33.2453597,126.5655406,휴게음식점,꽃돼지분식,제주특별자치도 서귀포시 태평로 423 1층 (서귀동),제주특별자치도 서귀포시 서귀동 553번지 4호 ,2018-02-23
33.2545653,126.5072614,휴게음식점,GS25신서귀포점,제주특별자치도 서귀포시 신서귀로97번길 45 1층 (강정동),제주특별자치도 서귀포시 강정동 159번지 1호 ,2018-02-23
33.2550279,126.5085509,휴게음식점,7번가피자신서귀점,제주특별자치도 서귀포시 신중로 6 1층 (강정동),제주특별자치도 서귀포시 강정동 147번지 4호 ,2018-02-23
33.3104382,126.3413657,휴게음식점,세븐일레븐동광점,제주특별자치도 서귀포시 안덕면 동광로 164,제주특별자치도 서귀포시 안덕면 동광리 824번지 ,2018-02-23
33.2491469,126.5657309,휴게음식점,이칠이,제주특별자치도 서귀포시 중정로91번길 7 1층 (서귀동),제주특별자치도 서귀포시 서귀동 272번지 19호 ,2018-02-23
33.255487,126.5686054,휴게음식점,에코소랑꼬라지오꿈앤카페,제주특별자치도 서귀포시 일주동로 8777 (서홍동),제주특별자치도 서귀포시 서홍동 1153번지 6호 ,2018-02-23
33.254188,126.6213171,휴게음식점,쇠소깍탐앤탐스제주점,제주특별자치도 서귀포시 쇠소깍로 122 (하효동),제주특별자치도 서귀포시 하효동 994번지 2호 ,2018-02-23
33.2472388,126.5092079,휴게음식점,찜질방매점,제주특별자치도 서귀포시 월드컵로 33 1층 (법환동),제주특별자치도 서귀포시 법환동 914번지 ,2018-02-23
33.2835671,126.7051642,휴게음식점,세븐일레븐서귀포신흥점,제주특별자치도 서귀포시 남원읍 일주동로 6611,제주특별자치도 서귀포시 남원읍 신흥리 161번지 1호 ,2018-02-23
33.2641256,126.613848,휴게음식점,플러스숑,제주특별자치도 서귀포시 효돈로 137-1 1층 (신효동),제주특별자치도 서귀포시 신효동 705번지 4호 ,2018-02-23
33.2505248,126.6209111,휴게음식점,GS25쇠소깍점,제주특별자치도 서귀포시 쇠소깍로 151-8 (하효동),제주특별자치도 서귀포시 하효동 999번지 ,2018-02-23
33.2422314,126.566816,휴게음식점,몬들락,제주특별자치도 서귀포시 칠십리로 113 (서귀동),제주특별자치도 서귀포시 서귀동 10번지 1호 ,2018-02-23
