업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
제과점영업,파리바게뜨,제주특별자치도 서귀포시 동홍로 4 1 2층 (서귀동),제주특별자치도 서귀포시 서귀동 251번지 16호 1 2층 ,33.2489282,126.5681134,2018-02-23
제과점영업,보룡제과,제주특별자치도 서귀포시 성산읍 고성오조로 48-1,제주특별자치도 서귀포시 성산읍 고성리 2747번지 28호 ,33.448007,126.9152566,2018-02-23
제과점영업,빵굽는집,제주특별자치도 서귀포시 표선면 표선동서로 251,제주특별자치도 서귀포시 표선면 표선리 602번지 2호 ,33.3262981,126.8329309,2018-02-23
제과점영업,한라베이커리,제주특별자치도 서귀포시 중앙로 77 (서귀동),제주특별자치도 서귀포시 서귀동 297번지 14호 ,33.2515834,126.5610812,2018-02-23
제과점영업,쑥이네진빵,제주특별자치도 서귀포시 성산읍 신산중앙로18번길 18-7,제주특별자치도 서귀포시 성산읍 신산리 1097번지 2호 ,33.3793187,126.8758328,2018-02-23
제과점영업,케나라,제주특별자치도 서귀포시 성산읍 고성오조로 70-2,제주특별자치도 서귀포시 성산읍 고성리 313번지 1호 ,33.4500206,126.9150766,2018-02-23
제과점영업,제일성심당,제주특별자치도 서귀포시 성산읍 고성오조로 47,제주특별자치도 서귀포시 성산읍 고성리 322번지 8호 ,33.447961,126.9149463,2018-02-23
제과점영업,남양당,제주특별자치도 서귀포시 효돈로 173-1 (하효동),제주특별자치도 서귀포시 하효동 132번지 ,33.263813,126.6174354,2018-02-23
제과점영업,갓구운베이커리,제주특별자치도 서귀포시 표선면 표선중앙로90번길 13,제주특별자치도 서귀포시 표선면 표선리 648번지 3호 ,33.3244501,126.8331639,2018-02-23
제과점영업,하나로빵집,제주특별자치도 서귀포시 남원읍 남조로 52,제주특별자치도 서귀포시 남원읍 남원리 226번지 ,33.3190481,126.7087521,2018-02-23
제과점영업,델리팜,제주특별자치도 서귀포시 표선면 일주동로 6347-17,제주특별자치도 서귀포시 표선면 토산리 17번지 ,33.3056347,126.7921182,2018-02-23
제과점영업,빵하우스, ,제주특별자치도 서귀포시 동홍동 645번지 3호 ,33.2663197,126.5671727,2018-02-23
제과점영업,하나로빵이벤트,제주특별자치도 서귀포시 표선면 표선동서로 237-2,제주특별자치도 서귀포시 표선면 표선리 689번지 ,33.325318,126.8320654,2018-02-23
제과점영업,플러스제과점,제주특별자치도 서귀포시 일주동로 8554 (동홍동),제주특별자치도 서귀포시 동홍동 498번지 5호 ,33.2552151,126.5741555,2018-02-23
제과점영업,몽블랑제서귀포점,제주특별자치도 서귀포시 중앙로 180 (동홍동),제주특별자치도 서귀포시 동홍동 1558번지 ,33.2604879,126.5600101,2018-02-23
제과점영업,칠십리베이커리,제주특별자치도 서귀포시 중산간동로 8019 (동홍동),제주특별자치도 서귀포시 동홍동 1583번지 1호 ,33.2640429,126.5603253,2018-02-23
제과점영업,중문하나로베이커리,제주특별자치도 서귀포시 천제연로 242 (중문동),제주특별자치도 서귀포시 중문동 1928번지 ,33.2507993,126.430737,2018-02-23
