위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.250182,126.5591137,일반음식점,명물고기집,,제주특별자치도 서귀포시 서귀동 308번지 21호 ,2018-02-23,,서문로29번길,3,서귀동,,,
33.4627561,126.9350438,일반음식점,비긴어게인,,제주특별자치도 서귀포시 성산읍 성산리 126번지 3호 ,2018-02-23,,일출로,284,성산읍,,1,
33.2541205,126.560076,일반음식점,소문난순대족발2호점,제주특별자치도 서귀포시 대청로 34 109호 (강정동 제주강정유승한내들퍼스트오션상가동),제주특별자치도 서귀포시 강정동 200번지 제주강정유승한내들퍼스트오션상가동 109호,2018-02-23,,대청로,34,강정동,제주강정유승한내들퍼스트오션상가동,,109
33.2817614,126.7210225,일반음식점,제주석갈비남원점,,제주특별자치도 서귀포시 남원읍 남원리 214번지 7호 ,2018-02-23,,태위로723번길,31-11,남원읍,,1,
33.2311169,126.3087905,일반음식점,버거의여왕,,제주특별자치도 서귀포시 안덕면 사계리 2029번지 9호 ,2018-02-23,,사계남로,202,안덕면,,,
33.2163325,126.25156,일반음식점,모슬포마라수산시장식당,,제주특별자치도 서귀포시 대정읍 하모리 2132번지 1호 1층 ,2018-02-23,,하모항구로,8,대정읍,,1,
33.2482321,126.5611576,일반음식점,신나는철스아랑조을거리점,,제주특별자치도 서귀포시 서귀동 294번지 11호 ,2018-02-23,,천지로,8,서귀동,,,
33.2506928,126.5637538,일반음식점,한국김밥거래소,,제주특별자치도 서귀포시 서귀동 279번지 6호 ,2018-02-23,,중앙로62번길,23,서귀동,,,
33.2519928,126.512737,일반음식점,이씨네수라간,,제주특별자치도 서귀포시 서호동 1472번지 1호 ,2018-02-23,,신동로27번길,42,서호동,,1,
33.3053883,126.5774568,일반음식점,제주돈아서귀포점,,제주특별자치도 서귀포시 상효동 2210번지 ,2018-02-23,,돈내코로,191,상효동,,,
33.2208484,126.2596896,일반음식점,돈치킨서귀포시모슬포점,,제주특별자치도 서귀포시 대정읍 상모리 4095번지 4호 ,2018-02-23,,상모로273번길,42,대정읍,,,102
33.2424406,126.5061755,일반음식점,제주김만복김밥서귀포점,,제주특별자치도 서귀포시 강정동 707번지 2호 1층 ,2018-02-23,,월드컵로,193,강정동,,1,
