위도,경도,amenity,name,addr:full
37.46489884,127.1406486,bar,품 노래빠(BAR),"경기도 성남시 수정구 위례광장로 9-10, 4층 401호 (창곡동, 아롬타워)"
37.46489884,127.1406486,bar,해 노래빠(BAR),"경기도 성남시 수정구 위례광장로 9-10, 4층 402호 (창곡동, 아롬타워)"
37.4411562,127.1469544,bar,짱노래천국,"경기도 성남시 수정구 산성대로 269, 지층 일부호 (신흥동)"
37.44035981,127.1439801,bar,팡팡노래빵,"경기도 성남시 수정구 시민로 137, 지하 1층 (신흥동)"
37.44036716,127.144997,bar,코미디언 이정표 라이브클럽,"경기도 성남시 수정구 산성대로 251, 한성빌딩 지하1층 (신흥동)"
37.44286547,127.1391034,bar,명품노래빵,"경기도 성남시 수정구 수정로 172, 2층 일부호 (신흥동)"
37.44127577,127.1472921,bar,히든노래짱,"경기도 성남시 수정구 산성대로 273, 지층 일부호 (신흥동)"
37.44303925,127.1382199,bar,소리새 노래팡,"경기도 성남시 수정구 수정로 163, 영성빌딩 지하1층 일부호 (태평동)"
37.4411562,127.1469544,bar,엔젤노래빵,"경기도 성남시 수정구 산성대로 269, 3층 (신흥동)"
37.44307787,127.1398129,bar,비타민,"경기도 성남시 수정구 수정로 178, 지층 일부호 (신흥동)"
37.44168081,127.1335795,bar,스타노래빵,"경기도 성남시 수정구 수정로119번길 4, 지하1층 일부호 (태평동)"
37.44371,127.13909,bar,쿨노래빵,"경기도 성남시 수정구 수정로171번길 8, 3층 일부호 (태평동)"
37.44094,127.14371,bar,보스 (BOSS),"경기도 성남시 수정구 시민로 143, 2층 일부 (신흥동)"
37.4412,127.14399,bar,가넷,"경기도 성남시 수정구 시민로 146, 2층 일부 (신흥동)"
37.4408,127.14568,bar,메이드,"경기도 성남시 수정구 산성대로 259, 지2층 (신흥동)"
37.44195,127.1437,bar,심쿵노래짱,"경기도 성남시 수정구 시민로 154-1, 2층 (신흥동)"
37.44189365,127.1430133,bar,별빛노래주점,"경기도 성남시 수정구 시민로155번길 3, 지하1층 (신흥동)"
37.44048,127.13113,bar,탑7라이브7080,"경기도 성남시 수정구 수정로 96, 2층 일부호 (수진동)"
37.44116142,127.1440923,bar,중년라이브,"경기도 성남시 수정구 시민로 144-1, 지층 (신흥동)"
37.4430764,127.1371346,bar,향수,"경기도 성남시 수정구 탄리로74번길 11, 지층 (태평동)"
37.44238498,127.1387021,bar,쎄시봉단란주점,"경기도 성남시 수정구 시민로175번길 37-1 (신흥동,지층)"
37.44231611,127.1391436,bar,호수포장마차,"경기도 성남시 수정구 수정남로 103-2 (신흥동,지층)"
37.44040123,127.1335716,bar,장녹수,"경기도 성남시 수정구 수정남로52번길 1, 지층 (수진동)"
37.44074104,127.1344492,bar,옥라이브,"경기도 성남시 수정구 수정남로60번길 2 (수진동,지층)"
37.44080505,127.1444948,bar,천지포차,"경기도 성남시 수정구 산성대로249번길 9 (신흥동, 지하1층)"
37.44221289,127.1336412,bar,까꿍3050,"경기도 성남시 수정구 수정북로 36, 지층 (태평동)"
37.4620839,127.1678894,bar,별노래팡팡,경기도 성남시 수정구 산성대로 지하 583 (양지동)
37.44336842,127.1376398,bar,파티노래빵,"경기도 성남시 수정구 수정북로 74, 지하1층 (태평동)"
37.45141805,127.1593611,bar,스타가요 노래빵,"경기도 성남시 수정구 산성대로 441 (단대동,지층)"
37.44449687,127.1428933,bar,앵콜노래짱,"경기도 성남시 수정구 수정로 209 (태평동,지층)"
37.44463616,127.1298726,bar,별밤,"경기도 성남시 수정구 제일로 205-1, 지1층 (태평동)"
37.4410741,127.1455653,bar,3050포차,"경기도 성남시 수정구 산성대로255번길 8-9, 지하1층 (신흥동)"
37.44066657,127.1341223,bar,토마토주점,"경기도 성남시 수정구 수정남로56번길 1 (수진동,지층)"
37.43947775,127.1428713,bar,상록수,"경기도 성남시 수정구 시민로133번길 15 (신흥동,지층)"
37.44259661,127.1492774,bar,다정포차,"경기도 성남시 수정구 산성대로295번길 10, 지층 (신흥동)"
37.44210423,127.1372701,bar,팡팡 노래빵,경기도 성남시 수정구 수정로154번길 6 (신흥동)
37.44290994,127.1365488,bar,부활 라이브 7080,"경기도 성남시 수정구 탄리로74번길 7, 지하1층 (태평동)"
37.44154704,127.1362368,bar,케이비에스70&80 (KBS70&80),"경기도 성남시 수정구 탄리로 61, 2층 (수진동)"
37.43941969,127.1287463,bar,오렌지,"경기도 성남시 수정구 수정로74번길 6, 지층 (수진동)"
37.44103471,127.131485,bar,아찌방,"경기도 성남시 수정구 제일로 165 (태평동,지층)"
37.44305053,127.1422543,bar,명품 노래빵,"경기도 성남시 수정구 수정남로 134, 지하1층 (신흥동)"
37.44120264,127.1446485,bar,비제이(B.J),"경기도 성남시 수정구 시민로142번길 7, 지1층 (신흥동)"
37.4430212,127.1431813,bar,영심이네단란주점,"경기도 성남시 수정구 시민로 168 (신흥동,1층)"
37.4421971,127.1351783,bar,달마야놀자,"경기도 성남시 수정구 수정로135번길 4, B01호 (태평동)"
37.44206049,127.1436556,bar,호박라이브,"경기도 성남시 수정구 시민로 156, 지하1층 (신흥동)"
37.44074615,127.1450718,bar,짱단란주점,"경기도 성남시 수정구 산성대로255번길 5-1 (신흥동,1층)"
37.44210423,127.1372701,bar,오아시스라이브,"경기도 성남시 수정구 수정로154번길 6, 2층 (신흥동)"
37.44189365,127.1430133,bar,징검다리노래포차,"경기도 성남시 수정구 시민로142번길 14-1, 지층 (신흥동)"
37.4413163,127.1454157,bar,라인노래바,"경기도 성남시 수정구 산성대로 271, 지하1층 (신흥동)"
