위도,경도,데이터기준일자,highway,support,light_method,light:lit,light:shape,light:tilt
37.4562334,126.6069941,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.455471,126.6065222,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4546723,126.6060284,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4558884,126.6067744,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4550898,126.6062919,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.454309,126.6057865,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4766347,126.598781,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4770137,126.5988305,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4771942,126.598861,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.47606,126.59895,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4760106,126.5993466,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4766653,126.5990857,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4766325,126.5993577,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4767951,126.5986311,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4768187,126.598348,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4768152,126.5988116,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4763726,126.5987181,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4762011,126.5986874,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4765081,126.5987495,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4762214,126.5981217,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.476189,126.5984276,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4753871,126.5991887,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.475567,126.5984053,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4754376,126.5988938,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4756083,126.5980879,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4752571,126.5988633,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4754189,126.5980689,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4753772,126.5983523,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4751967,126.5990905,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4744762,126.5976003,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4743804,126.5978734,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.474242,126.5983622,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4741113,126.5987377,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4739542,126.597644,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4734368,126.5980832,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.474213,126.5974357,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4736421,126.5979211,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4732495,126.598245,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4741745,126.5972329,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738623,126.5974987,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4735142,126.5977766,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4732558,126.5980188,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4713372,126.6195111,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4711697,126.6198307,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4709663,126.6201623,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4707809,126.6204822,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4706045,126.6208133,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4704103,126.621156,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4701983,126.6215217,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
