노선명,기점,기점 위도,기점 경도,종점,종점 위도,종점 경도,연장(km),관리기관명,데이터기준일자
서성일로,제주특별자치도 서귀포시 표선면 성읍리 1626-2,33.3920418868,126.8003392175,제주특별자치도 서귀포시 성산읍 고성리 1103-1,33.4473502981,126.9121735012,12.6,서귀포시 건설과,2016-08-31
번영로,제주특별자치도 서귀포시 표선면 성읍리 3166-1,33.420277,126.758625,제주특별자치도 서귀포시 표선면 표선리 307-1,33.333152,126.829422,12.5,서귀포시 건설과,2016-08-31
세화로,제주특별자치도 서귀포시 표선면 세화리 1522-1,33.3069097212,126.7998333406,제주특별자치도 서귀포시 표선면 세화리 1999-1,33.3329841602,126.7950090031,4,서귀포시 건설과,2016-08-31
표선관정로,제주특별자치도 서귀포시 표선면 표선리 2052-2,33.329451,126.822499,제주특별자치도 서귀포시 표선면 표선리 972-2,33.321986,126.833623,1.4,서귀포시 건설과,2016-08-31
표선동서로,제주특별자치도 서귀포시 표선면 표선리 2438,33.311281,126.817476,제주특별자치도 서귀포시 표선면 표선리 79-3,33.335574,126.840945,4,서귀포시 건설과,2016-08-31
표선중앙로,제주특별자치도 서귀포시 표선면 표선리 307-13,33.332747,126.829163,제주특별자치도 서귀포시 표선면 표선리 880-2,33.3260059461,126.8366156613,1.2,서귀포시 건설과,2016-08-31
해맞이해안로,제주특별자치도 서귀포시 성산읍 시흥리 1270-6,33.4823297,126.8993091,제주특별자치도 서귀포시 성산읍 오조리 8-3,33.4688738,126.9189078,2.6,서귀포시 건설과,2016-08-31
환해장성로,제주특별자치도 서귀포시 성산읍 신산리 1154-8,33.3771070665,126.8743434745,제주특별자치도 서귀포시 성산읍 고성리 507-29,33.435747,126.916782,9.5,서귀포시 건설과,2016-08-31
고성오조로,제주특별자치도 서귀포시 성산읍 고성리 1011,33.444414,126.913099,제주특별자치도 서귀포시 성산읍 오조리 808-1,33.4603547,126.9090514,2,서귀포시 건설과,2016-08-31
고성동서로,제주특별자치도 서귀포시 성산읍 고성리 1417,33.4496,126.907342,제주특별자치도 서귀포시 성산읍 고성리 296-1,33.450338,126.9209,1.4,서귀포시 건설과,2016-08-31
성산중앙로,제주특별자치도 서귀포시 성산읍 고성리 388-2,33.461045,126.931445,제주특별자치도 서귀포시 성산읍 성산리 298-4,33.4654833497,126.9354212794,0.7,서귀포시 건설과,2016-08-31
신양로,제주특별자치도 서귀포시 성산읍 고성리 839-7,33.4076465,126.8977633,제주특별자치도 서귀포시 성산읍 고성리 206-13,33.436519,126.922377,1.2,서귀포시 건설과,2016-08-31
성산등용로,제주특별자치도 서귀포시 성산읍 성산리 229-1,33.4640615354,126.9337571183,제주특별자치도 서귀포시 성산읍 성산리 347-9,33.4719123953,126.9331056550,1.3,서귀포시 건설과,2016-08-31
시흥상동로,제주특별자치도 서귀포시 성산읍 시흥리 276,33.4703831,126.8999074,제주특별자치도 서귀포시 성산읍 시흥리 1207-1,33.4810982,126.8957611,1.6,서귀포시 건설과,2016-08-31
삼달신풍로,제주특별자치도 서귀포시 성산읍 신풍리 690-1,33.3649377,126.8328699,제주특별자치도 서귀포시 성산읍 삼달리 1152-1,33.376381,126.84347,1.7,서귀포시 건설과,2016-08-31
한도로,제주특별자치도 서귀포시 성산읍 오조리 1314-1,33.4656657,126.9065279,제주특별자치도 서귀포시 성산읍 성산리 298-18,33.4653609276,126.9358000294,2.7,서귀포시 건설과,2016-08-31
온평동로,제주특별자치도 서귀포시 성산읍 온평리 1475-7,33.403784,126.896331,제주특별자치도 서귀포시 성산읍 온평리 554-8,33.410598,126.904323,1.4,서귀포시 건설과,2016-08-31
