지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
차도면,363,광도면,348020903C,통영시,11197,RD20160001,신설,미분류,140.97,1050.44,8.4,,,,,,66,128.4106366,34.94717672
차도면,364,광도면,348020903C,통영시,11201,RD20160001,신설,미분류,7.45,171.44,13.1,,,,,,67,128.4106318,34.94646078
차도면,365,광도면,348020903C,통영시,6618,,신설,미분류,196.47,1867.52,13.1,,,,,,68,128.4119113,34.94620595
차도면,366,광도면,348020903C,통영시,11200,RD20160001,신설,미분류,94.9,760.39,13,,,,,,69,128.4100335,34.94656386
보도면,367,광도면,348020903C,통영시,11200,RD20160001,신설,미분류,94.9,222.49,13,,,,,,70,128.4100803,34.94660295
보도면,368,광도면,348020903C,통영시,6618,RD20160001,신설,미분류,196.47,413.04,13.1,,,,,,71,128.4116533,34.94630254
보도면,369,광도면,348020903C,통영시,11200,,신설,미분류,94.9,193.49,13,,,,,,72,128.4100277,34.94651836
보도면,370,광도면,348020903C,통영시,11201,,신설,미분류,7.45,32.06,13.1,,,,,,73,128.4106153,34.94640428
보도면,371,광도면,348020903C,통영시,6618,,신설,미분류,196.47,439.85,13.1,,,,,,74,128.4118402,34.94616421
차도면,372,광도면,348020902B,통영시,11203,RD20160001,신설,미분류,87.34,409.44,4.6,,,,,,75,128.4099772,34.94779412
차도면,373,광도면,348020903A,통영시,6619,RD20160001,신설,미분류,77.79,381.33,4.7,,,,,,76,128.4111863,34.94780997
차도면,374,광도면,348020903A,통영시,11204,RD20160001,신설,미분류,11.37,115.5,4.7,,,,,,77,128.4106017,34.94780029
보도면,375,광도면,348020903C,통영시,11201,RD20160001,신설,미분류,7.45,2.81,13.1,,,,,,78,128.410565,34.94651592
보도면,362,광도면,348020903C,통영시,11197,RD20160001,신설,미분류,140.97,226.74,8.4,,,,,,79,128.4105867,34.947162
차도포장,160001,도천동,348021912D,통영시,160030,RD20170001,신설,미분류,112.9,2333.89,20,아스팔트콘크리트,미분류,미분류,미분류,1,80,128.4085288,34.84081845
차도포장,160002,명정동,348021483A,통영시,160001,RD20170001,신설,미분류,268,2106.76,7,콘크리트,미분류,미분류,미분류,1,81,128.4125041,34.8580212
