위도,경도,amenity,name,addr:full,source,source:date
33.2478885,126.3357726,restaurant,금모래흑돼지연탄구이,제주특별자치도 서귀포시 안덕면 화순중앙로 48,공공데이터포털,2018-02-23
33.3264263,126.8322772,restaurant,고향식당,제주특별자치도 서귀포시 표선면 표선중앙로 76,공공데이터포털,2018-02-23
33.2484051,126.5631785,restaurant,그때그집식당,제주특별자치도 서귀포시 중정로61번길 6 (서귀동),공공데이터포털,2018-02-23
33.2508777,126.5656297,restaurant,대원반점,제주특별자치도 서귀포시 동문동로 26 (서귀동),공공데이터포털,2018-02-23
33.2274402,126.4746813,restaurant,등대횟집,제주특별자치도 서귀포시 말질로 292 (강정동),공공데이터포털,2018-02-23
33.2514799,126.562421,restaurant,초연,제주특별자치도 서귀포시 중정로91번길 50 (서귀동),공공데이터포털,2018-02-23
33.257284,126.5091725,restaurant,가정식당,제주특별자치도 서귀포시 신서로122번길 74 (강정동),공공데이터포털,2018-02-23
33.2492258,126.567572,restaurant,메추리식당,제주특별자치도 서귀포시 동홍로 5 (서귀동),공공데이터포털,2018-02-23
33.2805733,126.7185945,restaurant,오복식당,제주특별자치도 서귀포시 남원읍 태위로679번길 15,공공데이터포털,2018-02-23
33.3534881,126.7718302,restaurant,나목도식당,제주특별자치도 서귀포시 표선면 가시로613번길 60,공공데이터포털,2018-02-23
33.3561172,126.7693695,restaurant,금강식당,제주특별자치도 서귀포시 표선면 중산간동로 5179,공공데이터포털,2018-02-23
33.3892637,126.8012691,restaurant,성읍칠십리식당,제주특별자치도 서귀포시 표선면 성읍정의현로 74,공공데이터포털,2018-02-23
33.2864695,126.7452381,restaurant,사거리식당,제주특별자치도 서귀포시 남원읍 태위로 937,공공데이터포털,2018-02-23
33.3263964,126.832646,restaurant,마시로,제주특별자치도 서귀포시 표선면 표선중앙로 77,공공데이터포털,2018-02-23
33.2460024,126.5810125,restaurant,서귀포칼호텔로비라운지,제주특별자치도 서귀포시 칠십리로 242 (토평동),공공데이터포털,2018-02-23
33.2544767,126.5604672,restaurant,미향해장국,제주특별자치도 서귀포시 솜반천로 4 (서홍동),공공데이터포털,2018-02-23
33.2515765,126.4249651,restaurant,중문오뚜기아구찜,제주특별자치도 서귀포시 천제연로 190 (중문동),공공데이터포털,2018-02-23
33.2421314,126.5622178,restaurant,새섬갈비,제주특별자치도 서귀포시 천지연로41번길 5 (서귀동),공공데이터포털,2018-02-23
33.2514453,126.5669285,restaurant,서귀포소방서구내식당,제주특별자치도 서귀포시 동홍로 31 (동홍동),공공데이터포털,2018-02-23
33.2199209,126.2516356,restaurant,선유,제주특별자치도 서귀포시 대정읍 하모항구로 72-1,공공데이터포털,2018-02-23
33.2249464,126.2682147,restaurant,행운가든,제주특별자치도 서귀포시 대정읍 상모로191번길 6,공공데이터포털,2018-02-23
33.3860871,126.7995673,restaurant,오라방식당,제주특별자치도 서귀포시 표선면 성읍서문로 19,공공데이터포털,2018-02-23
33.2402708,126.2507128,restaurant,대정고을식당,제주특별자치도 서귀포시 대정읍 일주서로 2258,공공데이터포털,2018-02-23
33.221473,126.2534099,restaurant,피로회복,제주특별자치도 서귀포시 대정읍 하모상가로 42,공공데이터포털,2018-02-23
33.2475912,126.4125373,restaurant,한국콘도휴게실,제주특별자치도 서귀포시 중문관광로72번길 29-29 (색달동),공공데이터포털,2018-02-23
33.2632939,126.5453158,restaurant,한라산가든,제주특별자치도 서귀포시 중산간동로 8156 (서홍동),공공데이터포털,2018-02-23
33.2634138,126.617461,restaurant,행복밥상,제주특별자치도 서귀포시 하신상로 29 (하효동),공공데이터포털,2018-02-23
33.2637902,126.6174947,restaurant,666식당,제주특별자치도 서귀포시 하신상로 33 (하효동),공공데이터포털,2018-02-23
33.268883,126.5876972,restaurant,상록음식점,제주특별자치도 서귀포시 토평로 24 (토평동),공공데이터포털,2018-02-23
33.2634138,126.617461,restaurant,페리카나양념통닭효돈분점,제주특별자치도 서귀포시 하신상로 29 (하효동),공공데이터포털,2018-02-23
33.2391194,126.4392091,restaurant,대포횟집,제주특별자치도 서귀포시 대포로 169 (대포동),공공데이터포털,2018-02-23
33.2402587,126.5621337,restaurant,어판장,제주특별자치도 서귀포시 칠십리로 53 (서귀동),공공데이터포털,2018-02-23
33.2578148,126.5601044,restaurant,서귀포야식,제주특별자치도 서귀포시 중앙로 147 (서홍동),공공데이터포털,2018-02-23
33.2862186,126.4442655,restaurant,위호텔 마레카페,제주특별자치도 서귀포시 1100로 453-95 (회수동),공공데이터포털,2018-02-23
33.2862186,126.4442655,restaurant,위호텔 다채,제주특별자치도 서귀포시 1100로 453-95 (회수동),공공데이터포털,2018-02-23
33.2222874,126.254328,restaurant,담다디분식,제주특별자치도 서귀포시 대정읍 신영로 115,공공데이터포털,2018-02-23
33.46184,126.9331391,restaurant,제주뚝배기,제주특별자치도 서귀포시 성산읍 일출로 255,공공데이터포털,2018-02-23
33.4492588,126.9154045,restaurant,삼거리해장국 찜,제주특별자치도 서귀포시 성산읍 동류암로 52,공공데이터포털,2018-02-23
33.416346,126.889907,restaurant,유성반점,제주특별자치도 서귀포시 성산읍 일주동로 4244,공공데이터포털,2018-02-23
33.3267724,126.8366934,restaurant,탐라뚝배기,제주특별자치도 서귀포시 표선면 표선백사로 127,공공데이터포털,2018-02-23
33.3270813,126.8316509,restaurant,대우반점,제주특별자치도 서귀포시 표선면 표선중앙로 66,공공데이터포털,2018-02-23
33.2256828,126.2520272,restaurant,신태백관,제주특별자치도 서귀포시 대정읍 동일하모로 196,공공데이터포털,2018-02-23
