Y좌표,X좌표,ref,name,name:ko,highway,public_transport
35.23151829,128.5680692,408603,북성초등학교,북성초등학교,bus_stop,platform
35.23129866,128.5680968,408604,북성초등학교,북성초등학교,bus_stop,platform
35.15287036,128.6570433,519802,북원로타리,북원로타리,bus_stop,platform
35.15308978,128.6570953,519801,북원로타리,북원로타리,bus_stop,platform
35.34629782,128.6126584,110311,북창원농협경제사업장,북창원농협경제사업장,bus_stop,platform
35.34591159,128.6132342,110312,북창원농협경제사업장,북창원농협경제사업장,bus_stop,platform
35.36681146,128.6444104,104647,분포,분포,bus_stop,platform
35.19074116,128.7249022,218829,불모산,불모산,bus_stop,platform
35.1908966,128.7220547,207303,불모산종점,불모산종점,bus_stop,platform
35.19003613,128.7235446,207304,불모산종점,불모산종점,bus_stop,platform
35.20599176,128.5767401,307404,불종로이인창치과,불종로이인창치과,bus_stop,platform
35.08247841,128.5699702,322141,붉은등대,붉은등대,bus_stop,platform
35.08236796,128.5700245,322142,붉은등대,붉은등대,bus_stop,platform
35.27692193,128.5200239,411801,블루밍아파트,블루밍아파트,bus_stop,platform
35.24515772,128.6830824,107507,사격장입구,사격장입구,bus_stop,platform
35.24492343,128.6831562,107508,사격장입구,사격장입구,bus_stop,platform
35.2611449,128.6285109,115314,사단앞,사단앞,bus_stop,platform
35.10541251,128.7593108,502902,사도마을,사도마을,bus_stop,platform
35.10560886,128.7593472,502901,사도마을,사도마을,bus_stop,platform
35.24423952,128.6758172,119119,사림동,사림동,bus_stop,platform
35.24391763,128.6758781,119120,사림동,사림동,bus_stop,platform
35.24302744,128.6854102,107510,사림동농협,사림동농협,bus_stop,platform
35.24323199,128.6855129,107509,사림동농협,사림동농협,bus_stop,platform
35.24151593,128.6814845,630018,사림민원센터,사림민원센터,bus_stop,platform
35.24132848,128.6815527,630019,사림민원센터,사림민원센터,bus_stop,platform
35.22201143,128.6951232,210001,사파대동아파트,사파대동아파트,bus_stop,platform
35.22177543,128.6958122,210002,사파대동아파트,사파대동아파트,bus_stop,platform
35.2212467,128.7008441,219106,사파동,사파동,bus_stop,platform
35.22107805,128.7012886,219107,사파동,사파동,bus_stop,platform
35.21833943,128.7023822,219109,사파동성아파트,사파동성아파트,bus_stop,platform
35.21822611,128.7019847,219108,사파동성아파트,사파동성아파트,bus_stop,platform
35.21525343,128.7089232,203912,사파동주민센터,사파동주민센터,bus_stop,platform
35.21468846,128.7089155,203911,사파동주민센터,사파동주민센터,bus_stop,platform
35.21832492,128.6960349,214301,사파삼익1차아파트,사파삼익1차아파트,bus_stop,platform
35.2180131,128.6959144,214302,사파삼익1차아파트,사파삼익1차아파트,bus_stop,platform
35.21756121,128.6939959,214217,사파삼익아파트,사파삼익아파트,bus_stop,platform
35.21998943,128.6980272,210003,사파초등학교,사파초등학교,bus_stop,platform
35.21930543,128.6985882,210004,사파초등학교,사파초등학교,bus_stop,platform
35.25268544,128.6154542,106401,사화초등학교,사화초등학교,bus_stop,platform
35.25259512,128.6150472,106402,사화초등학교,사화초등학교,bus_stop,platform
35.35231786,128.676614,106807,산남,산남,bus_stop,platform
35.35220953,128.6765824,106808,산남,산남,bus_stop,platform
35.35182952,128.6740606,106805,산남입구,산남입구,bus_stop,platform
35.35167733,128.6739689,106806,산남입구,산남입구,bus_stop,platform
35.15664656,128.6788683,518110,산상교회,산상교회,bus_stop,platform
35.15664596,128.6772557,518111,산상교회,산상교회,bus_stop,platform
35.31631056,128.5100215,630155,산성자전거,산성자전거,bus_stop,platform
35.31569179,128.5101297,630156,산성자전거,산성자전거,bus_stop,platform
35.26973144,128.4662802,630082,산인농공단지,산인농공단지,bus_stop,platform
35.26962343,128.4662049,630100,산인농공단지,산인농공단지,bus_stop,platform
35.27890719,128.4243197,630091,산인면사무소,산인면사무소,bus_stop,platform
35.27880022,128.4243035,630096,산인면사무소,산인면사무소,bus_stop,platform
35.21463367,128.5865546,321921,산호동,산호동,bus_stop,platform
35.21448604,128.5866928,321920,산호동,산호동,bus_stop,platform
35.23213943,128.503596,409907,삼계,삼계,bus_stop,platform
35.23196957,128.5042401,409908,삼계,삼계,bus_stop,platform
35.23077143,128.5019462,408402,삼계대동아파트,삼계대동아파트,bus_stop,platform
35.21984703,128.5017292,401312,삼계성당법륜사,삼계성당법륜사,bus_stop,platform
35.21980725,128.5016146,401311,삼계성당법륜사,삼계성당법륜사,bus_stop,platform
35.23173377,128.4975072,409903,삼계숲속마을아파트,삼계숲속마을아파트,bus_stop,platform
35.23152062,128.4974468,409904,삼계숲속마을아파트,삼계숲속마을아파트,bus_stop,platform
35.231874,128.500416,409905,삼계우체국,삼계우체국,bus_stop,platform
35.23170937,128.5000775,409906,삼계우체국,삼계우체국,bus_stop,platform
35.23480943,128.5044922,401006,삼계주공아파트,삼계주공아파트,bus_stop,platform
35.2485124,128.6211646,121202,삼광3공장,삼광3공장,bus_stop,platform
35.24744869,128.6230116,121203,삼광기계,삼광기계,bus_stop,platform
35.24626554,128.6251025,117101,삼광정밀,삼광정밀,bus_stop,platform
35.16578893,128.6145406,202301,삼귀민원센터,삼귀민원센터,bus_stop,platform
35.16578729,128.6146749,202302,삼귀민원센터,삼귀민원센터,bus_stop,platform
35.22645443,128.6555832,118821,삼동,삼동,bus_stop,platform
35.22628227,128.6550268,218806,삼동,삼동,bus_stop,platform
35.1923424,128.8103422,630185,삼문마을,삼문마을,bus_stop,platform
35.19243106,128.8102605,630186,삼문마을,삼문마을,bus_stop,platform
35.33230974,128.7075872,116401,삼봉마을,삼봉마을,bus_stop,platform
35.33240453,128.7076453,116402,삼봉마을,삼봉마을,bus_stop,platform
35.18637943,128.6943702,210705,삼성그린빌,삼성그린빌,bus_stop,platform
35.18632643,128.6945872,210706,삼성그린빌,삼성그린빌,bus_stop,platform
35.20887387,128.5761165,307401,삼성생명,삼성생명,bus_stop,platform
35.20850425,128.5763874,307402,삼성생명,삼성생명,bus_stop,platform
35.24344644,128.5911962,420613,삼성창원병원,삼성창원병원,bus_stop,platform
35.24263644,128.5910482,420612,삼성창원병원,삼성창원병원,bus_stop,platform
35.20023889,128.688133,213707,삼성테크윈,삼성테크윈,bus_stop,platform
35.20008661,128.6879434,213708,삼성테크윈,삼성테크윈,bus_stop,platform
35.34386244,128.4946892,630136,삼영엠텍입구,삼영엠텍입구,bus_stop,platform
