경도,위도,ref,name,short_name,name:ko,highway,public_transport
36.11406021,128.3526598,10481,시민운동장건너,시민운동장,시민운동장건너,bus_stop,platform
36.1156004,128.3482761,10785,송정여중입구건너,송정여중입구,송정여중입구건너,bus_stop,platform
36.11493609,128.3402602,10480,차병원건너,차병원앞,차병원건너,bus_stop,platform
36.1171587,128.3406295,10794,송정동이구빌라,송정동이구빌라,송정동이구빌라,bus_stop,platform
36.12327282,128.3378493,10861,가톨릭근로자문화센타,가톨릭근로자문화,가톨릭근로자문화센타,bus_stop,platform
36.1074208,128.3336803,10857,형곡중학교입구,형곡중학교입구,형곡중학교입구,bus_stop,platform
36.10891024,128.332274,10860,형곡금오산입구앞,형곡금오산입구,형곡금오산입구앞,bus_stop,platform
36.10756762,128.3382372,10497,형곡중앙시장건너,형곡중앙시장,형곡중앙시장건너,bus_stop,platform
36.10396694,128.334678,10866,시영아파트,시영아파트,시영아파트,bus_stop,platform
36.10233772,128.3362133,10815,형남중학교건너,형남중학교,형남중학교건너,bus_stop,platform
36.11171976,128.332306,10439,풍림2차건너,풍림2차,풍림2차건너,bus_stop,platform
36.14076653,128.3135908,10440,선주고등학교앞,선주고등학교앞,선주고등학교앞,bus_stop,platform
36.15091715,128.31037,10773,선주초등학교건너,선주초등학교,선주초등학교건너,bus_stop,platform
36.14131902,128.3016804,10470,진주울입구(장흥리방면),진주울입구,진주울입구(장흥리방면),bus_stop,platform
36.25752442,128.208347,10484,송삼2리(무을원동방면),송산2리,송삼2리(무을원동방면),bus_stop,platform
36.26737083,128.3172351,10422,선산전문장례식장건너,수도가압장,선산전문장례식장건너,bus_stop,platform
36.27101493,128.3203018,10417,생곡리고개(수도가압장방면),생곡리고개,생곡리고개(수도가압장방면),bus_stop,platform
36.27550297,128.3234814,10420,생곡삼거리(생곡리고개방면),생곡3거리,생곡삼거리(생곡리고개방면),bus_stop,platform
36.27297848,128.3282555,10863,생곡리(일선교방면),생곡리,생곡리(일선교방면),bus_stop,platform
36.10983168,128.3391615,10855,형곡초등학교앞,형곡초등학교,형곡초등학교앞,bus_stop,platform
36.11287138,128.3389597,10871,형곡4주공네거리(형곡초등학교방면),형곡4주공네거리,형곡4주공네거리(형곡초등학교방면),bus_stop,platform
36.32306506,128.2772668,10537,화훼단지주유소앞,화혜단지주유소,화훼단지주유소앞,bus_stop,platform
36.28680758,128.3266222,10503,신풍진마을입구(신기리방면),신풍진마을입구,신풍진마을입구(신기리방면),bus_stop,platform
36.2822665,128.3268201,10819,신기리(생곡삼거리방면),신기리,신기리(생곡삼거리방면),bus_stop,platform
36.30163588,128.2890637,10792,하농소(초곡방면),하농소,하농소(초곡방면),bus_stop,platform
36.2969642,128.3021988,10811,초곡(신풍진마을입구방면),초곡,초곡(신풍진마을입구방면),bus_stop,platform
36.25018827,128.238911,10469,포상2리하송(웅곡리방면),포상2리하송,포상2리하송(웅곡리방면),bus_stop,platform
36.25800493,128.208688,10546,송삼2리(무을면행정복지센터방면),송산2리,송삼2리(무을면행정복지센터방면),bus_stop,platform
36.27292,128.1480861,10408,안곡(산현4리방면),안곡,안곡(산현4리방면),bus_stop,platform
36.26997162,128.1602075,10790,상송수다사입구(안곡방면),상송수다사입구,상송수다사입구(안곡방면),bus_stop,platform
36.16125858,128.3482366,10839,청솔아파트건너,청솔아파트,청솔아파트건너,bus_stop,platform
36.08999946,128.3731368,10769,한염앞,한염앞,한염앞,bus_stop,platform
36.10219624,128.3776931,10490,직물협업단지(태광산업방면),직물협업단지,직물협업단지(태광산업방면),bus_stop,platform
36.10227734,128.3825819,10513,순천향병원앞,순천향병원앞,순천향병원앞,bus_stop,platform
36.09472224,128.4653847,10511,신동입구(신동새마을방면),신동입구,신동입구(신동새마을방면),bus_stop,platform
36.09582105,128.4700063,10453,신동새마을(새월사각지방면),신동새마을,신동새마을(새월사각지방면),bus_stop,platform
36.09776356,128.4749343,10431,새월사각지(학하리입구방면),세월사각지,새월사각지(학하리입구방면),bus_stop,platform
36.24245342,128.2986817,10425,선산읍행정복지센터건너,선산읍사무소,선산읍행정복지센터건너,bus_stop,platform
