위도,경도,highway,bus,public_transport,name,ref,source,source:date
35.56580337,129.3205599,bus_stop,yes,platform,안전보건공단 동서발전,11414,공공데이터포털,2020-07-27
35.56597471,129.3205525,bus_stop,yes,platform,안전보건공단 동서발전,11415,공공데이터포털,2020-07-27
35.5645911,129.313709,bus_stop,yes,platform,근로복지공단 산업인력공단,11416,공공데이터포털,2020-07-27
35.56477018,129.3137679,bus_stop,yes,platform,근로복지공단 산업인력공단,11417,공공데이터포털,2020-07-27
35.56372995,129.3088101,bus_stop,yes,platform,한국석유공사,11418,공공데이터포털,2020-07-27
35.5639475,129.3090948,bus_stop,yes,platform,한국석유공사,11419,공공데이터포털,2020-07-27
35.56265478,129.2814288,bus_stop,yes,platform,울산테크노파크,11420,공공데이터포털,2020-07-27
35.56266319,129.2802944,bus_stop,yes,platform,울산테크노파크,11421,공공데이터포털,2020-07-27
35.56215121,129.2935621,bus_stop,yes,platform,동원 로얄듀크2차,11422,공공데이터포털,2020-07-27
35.56231613,129.2936054,bus_stop,yes,platform,동원 로얄듀크2차,11423,공공데이터포털,2020-07-27
35.56216452,129.2903679,bus_stop,yes,platform,변전소,11424,공공데이터포털,2020-07-27
35.56327904,129.3004822,bus_stop,yes,platform,중부소방서,11425,공공데이터포털,2020-07-27
35.56298364,129.3004528,bus_stop,yes,platform,중부소방서,11426,공공데이터포털,2020-07-27
35.57418357,129.3351234,bus_stop,yes,platform,약사고등학교,11427,공공데이터포털,2020-07-27
35.57397344,129.3351559,bus_stop,yes,platform,약사고등학교,11428,공공데이터포털,2020-07-27
35.56247237,129.2900358,bus_stop,yes,platform,변전소,11429,공공데이터포털,2020-07-27
35.57730691,129.339255,bus_stop,yes,platform,약사제방전시관,11430,공공데이터포털,2020-07-27
35.57726042,129.3389227,bus_stop,yes,platform,약사제방전시관,11431,공공데이터포털,2020-07-27
35.56665214,129.3247103,bus_stop,yes,platform,한국전기안전공사,11432,공공데이터포털,2020-07-27
35.56680248,129.3246236,bus_stop,yes,platform,한국전기안전공사,11433,공공데이터포털,2020-07-27
35.56881409,129.3287454,bus_stop,yes,platform,도화골입구,11434,공공데이터포털,2020-07-27
35.56862614,129.3280584,bus_stop,yes,platform,도화골입구,11435,공공데이터포털,2020-07-27
35.56346137,129.3040885,bus_stop,yes,platform,"동원1차,에일린3차",11436,공공데이터포털,2020-07-27
35.5636245,129.3040394,bus_stop,yes,platform,"동원1차,에일린3차",11437,공공데이터포털,2020-07-27
35.57979251,129.3378051,bus_stop,yes,platform,약사골사거리,11438,공공데이터포털,2020-07-27
35.58030284,129.3376228,bus_stop,yes,platform,약사골사거리,11439,공공데이터포털,2020-07-27
35.58488984,129.3433737,bus_stop,yes,platform,외솔중학교,11450,공공데이터포털,2020-07-27
35.58429328,129.3442777,bus_stop,yes,platform,외솔중학교,11451,공공데이터포털,2020-07-27
35.55848198,129.3289798,bus_stop,yes,platform,복산성당앞,11501,공공데이터포털,2020-07-27
35.55862253,129.3286216,bus_stop,yes,platform,복산성당앞,11502,공공데이터포털,2020-07-27
35.55781913,129.3312257,bus_stop,yes,platform,남운학성타운앞,11503,공공데이터포털,2020-07-27
