위도,경도,name,public_transport,bus,addr:subdistrict,highway,source
36.062407,126.918584,함라중학교,platform,yes,함라면,bus_stop,공공데이터포털
36.045968,126.85442,혜곡,platform,yes,나포면,bus_stop,공공데이터포털
35.988736,126.880426,호산,platform,yes,서수면,bus_stop,공공데이터포털
36.047184,126.705806,홍덕리,platform,yes,마서면,bus_stop,공공데이터포털
35.912724,126.75662,회현면사무소,platform,yes,회현면,bus_stop,공공데이터포털
35.913574,126.755852,회현중학교,platform,yes,회현면,bus_stop,공공데이터포털
35.969837,126.546744,대우로지스틱스,platform,yes,오식도동,bus_stop,공공데이터포털
36.007747,126.757539,채만식문학관,platform,yes,내흥동,bus_stop,공공데이터포털
35.973065,126.784493,와룡,platform,yes,개정면,bus_stop,공공데이터포털
35.905193,126.758264,금당,platform,yes,회현면,bus_stop,공공데이터포털
35.998105,126.870057,행운가든(수서저수지),platform,yes,서수면,bus_stop,공공데이터포털
35.973449,126.890555,신기,platform,yes,임피면,bus_stop,공공데이터포털
35.950355,126.866584,금암,platform,yes,대야면,bus_stop,공공데이터포털
35.893574,126.857327,대신,platform,yes,청하면,bus_stop,공공데이터포털
35.97249,126.771575,충량마을,platform,yes,개정면,bus_stop,공공데이터포털
35.964499,126.76783,율북마을,platform,yes,개정면,bus_stop,공공데이터포털
35.944004,126.720352,원당마을,platform,yes,옥산면,bus_stop,공공데이터포털
35.95229,126.830595,외덕물문교,platform,yes,대야면,bus_stop,공공데이터포털
35.950769,126.842032,고척마을,platform,yes,대야면,bus_stop,공공데이터포털
36.080688,126.967096,함열여고,platform,yes,함열읍,bus_stop,공공데이터포털
35.950362,126.75203,봉서마을,platform,yes,옥산면,bus_stop,공공데이터포털
36.020205,126.699456,장항초교,platform,yes,장항읍,bus_stop,공공데이터포털
35.9537,126.549035,KB중공업,platform,yes,오식도동,bus_stop,공공데이터포털
35.821977,126.476772,신시도입구,platform,yes,옥도면,bus_stop,공공데이터포털
35.910124,126.645272,구호촌,platform,yes,옥서면,bus_stop,공공데이터포털
35.971516,126.702789,우진아파트,platform,yes,나운동,bus_stop,공공데이터포털
35.976216,126.785146,운회교회,platform,yes,개정면,bus_stop,공공데이터포털
35.969622,126.706429,주공5차,platform,yes,문화동,bus_stop,공공데이터포털
35.959636,126.719155,한라비발디아파트,platform,yes,수송동,bus_stop,공공데이터포털
35.95233,126.652085,미성동,platform,yes,산북동,bus_stop,공공데이터포털
35.979258,126.672897,소룡동제이파크,platform,yes,소룡동,bus_stop,공공데이터포털
36.064712,126.924142,간성마을,platform,yes,함라면,bus_stop,공공데이터포털
35.920458,126.710298,개정,platform,yes,옥구읍,bus_stop,공공데이터포털
35.973382,126.728532,경장사거리,platform,yes,경장동,bus_stop,공공데이터포털
35.969047,126.732034,경장삼거리,platform,yes,경장동,bus_stop,공공데이터포털
35.990997,126.858885,계남마을,platform,yes,임피면,bus_stop,공공데이터포털
