위도,경도,name,name:en,name:ko,highway,public_transport
37.756311,127.981478,외삼포리,Oesampo-ri,외삼포리,bus_stop,platform
37.750089,127.958239,외삼포리,Oesampo-ri,외삼포리,bus_stop,platform
37.75563,127.978461,외삼포삼거리,Oesamposamgeori,외삼포삼거리,bus_stop,platform
37.755728,127.978449,외삼포삼거리,Oesamposamgeori,외삼포삼거리,bus_stop,platform
37.689833,127.937709,용각,Yonggak,용각,bus_stop,platform
37.689867,127.937631,용각,Yonggak,용각,bus_stop,platform
37.550904,127.705502,용두3리,Yongdu 3(sam)-ri,용두3리,bus_stop,platform
37.5512,127.706083,용두3리,Yongdu 3(sam)-ri,용두3리,bus_stop,platform
37.554184,127.708578,용두리,Yongdu-ri,용두리,bus_stop,platform
37.721687,128.171955,용두안,Yongduan,용두안,bus_stop,platform
37.721774,128.172043,용두안,Yongduan,용두안,bus_stop,platform
37.55432,127.708467,용두터미널,Yongduteomineol,용두터미널,bus_stop,platform
37.658078,127.766849,용수리,Yongsu-ri,용수리,bus_stop,platform
37.658033,127.766747,용수리,Yongsu-ri,용수리,bus_stop,platform
37.621296,127.768771,용수입구,Yongsuipgu,용수입구,bus_stop,platform
37.663131,127.765938,용수하교,Yongsuhagyo,용수하교,bus_stop,platform
37.663191,127.765861,용수하교,Yongsuhagyo,용수하교,bus_stop,platform
37.702044,127.691759,용장사입구,Yongjangsaipgu,용장사입구,bus_stop,platform
37.701952,127.691809,용장사입구,Yongjangsaipgu,용장사입구,bus_stop,platform
37.76643,127.880346,용태리,Yongtae-ri,용태리,bus_stop,platform
37.766339,127.880272,용태리,Yongtae-ri,용태리,bus_stop,platform
37.658439,127.835934,우렁쌈밥,Ureongssambap,우렁쌈밥,bus_stop,platform
37.658377,127.835879,우렁쌈밥,Ureongssambap,우렁쌈밥,bus_stop,platform
37.718237,128.419579,운두종점,Undujongjeom,운두종점,bus_stop,platform
37.677445,127.938889,원개울,Wongaeul,원개울,bus_stop,platform
37.677545,127.938943,원개울,Wongaeul,원개울,bus_stop,platform
37.820471,128.415013,원당,Wondang,원당,bus_stop,platform
37.82064,128.415143,원당,Wondang,원당,bus_stop,platform
37.827895,128.417383,원당삼거리,Wondangsamgeori,원당삼거리,bus_stop,platform
37.827968,128.417249,원당삼거리,Wondangsamgeori,원당삼거리,bus_stop,platform
37.882725,128.021787,원동1리입구,Won-dong1Riipgu,원동1리입구,bus_stop,platform
37.899906,128.007758,원동리,Wondong-ri,원동리,bus_stop,platform
37.899879,128.007685,원동리,Wondong-ri,원동리,bus_stop,platform
37.915622,128.001336,원동리종점,Wondongnijongjeom,원동리종점,bus_stop,platform
37.883631,128.023212,원동입구,Wondongipgu,원동입구,bus_stop,platform
37.717641,127.741892,원소리,Wonso-ri,원소리,bus_stop,platform
37.71755,127.741941,원소리,Wonso-ri,원소리,bus_stop,platform
37.718589,127.736132,원소리승강장,Wonsoriseunggangjang,원소리승강장,bus_stop,platform
37.718444,127.73594,원소리승강장,Wonsoriseunggangjang,원소리승강장,bus_stop,platform
37.721592,127.748921,원소리안말,Wonsorianmal,원소리안말,bus_stop,platform
37.721509,127.749039,원소리안말,Wonsorianmal,원소리안말,bus_stop,platform
37.611505,127.898712,원터,Wonteo,원터,bus_stop,platform
37.612188,127.896813,원터입구,Wonteoipgu,원터입구,bus_stop,platform
37.612157,127.896288,원터입구,Wonteoipgu,원터입구,bus_stop,platform
37.612152,127.896419,원터입구,Wonteoipgu,원터입구,bus_stop,platform
37.61215,127.896665,원터입구,Wonteoipgu,원터입구,bus_stop,platform
37.793586,127.974269,원평교회,Wonpyeonggyohoe,원평교회,bus_stop,platform
37.79359,127.974177,원평교회,Wonpyeonggyohoe,원평교회,bus_stop,platform
37.783287,127.972989,원평리,Wonpyeong-ri,원평리,bus_stop,platform
37.783216,127.972863,원평리,Wonpyeong-ri,원평리,bus_stop,platform
37.693824,127.910758,월드아파트,World Apt.,월드아파트,bus_stop,platform
37.693934,127.910729,월드아파트,World Apt.,월드아파트,bus_stop,platform
37.638252,127.934188,월운교,Worungyo,월운교,bus_stop,platform
37.638339,127.934022,월운교,Worungyo,월운교,bus_stop,platform
37.642393,127.928765,월운마을회관,Worunmaeulhoegwan,월운마을회관,bus_stop,platform
37.642449,127.928823,월운마을회관,Worunmaeulhoegwan,월운마을회관,bus_stop,platform
37.634663,127.93668,월운종점,Worunjongjeom,월운종점,bus_stop,platform
37.634609,127.93662,월운종점,Worunjongjeom,월운종점,bus_stop,platform
37.632598,127.784684,월천리,Wolcheon-ri,월천리,bus_stop,platform
37.623698,127.77306,월천리(가작골),Wolcheon-ri(Gajakgol),월천리(가작골),bus_stop,platform
37.62375,127.772992,월천리(가작골),Wolcheon-ri(Gajakgol),월천리(가작골),bus_stop,platform
37.627144,127.775926,월천리(하),Wolcheon-ri(Ha),월천리(하),bus_stop,platform
37.627218,127.776801,월천리삼거리,Wolcheollisamgeori,월천리삼거리,bus_stop,platform
37.604473,127.78422,유목정,Yumokjeong,유목정,bus_stop,platform
37.604395,127.784382,유목정,Yumokjeong,유목정,bus_stop,platform
37.748871,128.308811,율전리,Yuljeon-ri,율전리,bus_stop,platform
37.748978,128.308837,율전리,Yuljeon-ri,율전리,bus_stop,platform
37.742606,128.084031,응골,Eunggol,응골,bus_stop,platform
37.742716,128.084041,응골,Eunggol,응골,bus_stop,platform
37.666152,127.840029,의무대,Uimudae,의무대,bus_stop,platform
37.746501,128.400266,자운,Jaun,자운,bus_stop,platform
37.746348,128.400183,자운,Jaun,자운,bus_stop,platform
37.742256,128.402962,자운1리,Jaun 1(il)-ri,자운1리,bus_stop,platform
37.742147,128.402908,자운1리,Jaun 1(il)-ri,자운1리,bus_stop,platform
37.752625,128.376145,자운리,Jaulli,자운리,bus_stop,platform
37.752706,128.376166,자운리,Jaulli,자운리,bus_stop,platform
37.869374,128.020905,자은,Jaeun,자은,bus_stop,platform
37.869452,128.020808,자은,Jaeun,자은,bus_stop,platform
37.879724,128.022982,자은1리.원동입구,Jaeun1Ri.Wondongipgu,자은1리.원동입구,bus_stop,platform
