위도,경도,name,name:ko,highway,public_transport
37.144032,128.206592,광진샤인빌 맞은편,광진샤인빌 맞은편,bus_stop,platform
37.14433,128.206019,광진샤인빌 앞,광진샤인빌 앞,bus_stop,platform
37.144648,128.209644,의림동 8통,의림동 8통,bus_stop,platform
37.141032,128.210963,중앙로2가 7통,중앙로2가 7통,bus_stop,platform
37.135186,128.204913,제천여고 앞,제천여고 앞,bus_stop,platform
37.134791,128.209077,화산교차로,화산교차로,bus_stop,platform
37.13299,128.203028,명동 4통,명동 4통,bus_stop,platform
37.139714,128.207616,의림동 2통,의림동 2통,bus_stop,platform
37.139858,128.207324,의림동 3통,의림동 3통,bus_stop,platform
37.137283,128.205966,명동 1통,명동 1통,bus_stop,platform
37.137419,128.205707,서부시장,서부시장,bus_stop,platform
37.136385,128.204691,제천여고앞,제천여고앞,bus_stop,platform
37.131436,128.199872,북성연립(청송자동차용품 앞),북성연립(청송자동차용품 앞),bus_stop,platform
37.130679,128.205194,역전오거리(도레미분식앞),역전오거리(도레미분식앞),bus_stop,platform
37.12571,128.202502,영천동 청풍방면(모란세차장),영천동 청풍방면(모란세차장),bus_stop,platform
37.129736,128.203593,남당초교앞(첼로모텔),남당초교앞(첼로모텔),bus_stop,platform
37.126836,128.202786,기관차사무소앞(영천관식당맞은편),기관차사무소앞(영천관식당맞은편),bus_stop,platform
37.124939,128.205077,강저휴먼시아1단지(108동앞),강저휴먼시아1단지(108동앞),bus_stop,platform
37.1236,128.208483,강저 리슈빌 아파트 앞,강저 리슈빌 아파트 앞,bus_stop,platform
37.125105,128.208183,원화산입구(강저주공 아파트4단지),원화산입구(강저주공 아파트4단지),bus_stop,platform
37.125105,128.208183,원화산 입구(강저주공 4단지 맞은편),원화산 입구(강저주공 4단지 맞은편),bus_stop,platform
37.13047,128.195717,코아루아파트 옆(신당공원),코아루아파트 옆(신당공원),bus_stop,platform
37.131615,128.195359,코아루아파트 정문 맞은편(모델하우스앞),코아루아파트 정문 맞은편(모델하우스앞),bus_stop,platform
37.129898,128.175445,제천노인병원입구(우성장수촌앞),제천노인병원입구(우성장수촌앞),bus_stop,platform
37.129948,128.165913,신동(1통 방앗간 앞),신동(1통 방앗간 앞),bus_stop,platform
37.131349,128.163237,구신동 마을회관 앞,구신동 마을회관 앞,bus_stop,platform
37.13399,128.162939,놋적개마을 입구,놋적개마을 입구,bus_stop,platform
37.127974,128.159831,세거리입구(구)용진매매상사앞,세거리입구(구)용진매매상사앞,bus_stop,platform
37.129293,128.157617,신동1통 세거리입구,신동1통 세거리입구,bus_stop,platform
37.124298,128.206054,영천동 휴먼시아4단지,영천동 휴먼시아4단지,bus_stop,platform
37.132048,128.195,남천동 동명초 사거리,남천동 동명초 사거리,bus_stop,platform
37.132211,128.229734,신백동(그린주유소),신백동(그린주유소),bus_stop,platform
37.135089,128.227897,신백동(내토초등학교앞),신백동(내토초등학교앞),bus_stop,platform
37.134042,128.228693,신백동(내토초등학교앞),신백동(내토초등학교앞),bus_stop,platform
37.13323,128.224863,신백동(덕일한마음아파트 후문 진입도로),신백동(덕일한마음아파트 후문 진입도로),bus_stop,platform
37.132362,128.226504,신백동(신백동),신백동(신백동),bus_stop,platform
37.127825,128.223711,신백동(행정복지센터 앞),신백동(행정복지센터 앞),bus_stop,platform
37.129764,128.227914,신백동(장미아파트앞),신백동(장미아파트앞),bus_stop,platform
37.13254,128.22745,신백동(제천상고),신백동(제천상고),bus_stop,platform
37.13323,128.229287,신백동(제천상고앞),신백동(제천상고앞),bus_stop,platform
37.120407,128.238363,고명4통(시거리),고명4통(시거리),bus_stop,platform
37.114072,128.233842,고명동(백양동),고명동(백양동),bus_stop,platform
37.119713,128.242851,고명동(한천),고명동(한천),bus_stop,platform
37.119713,128.242851,고명동(한천),고명동(한천),bus_stop,platform
37.118413,128.243983,고명동(한천),고명동(한천),bus_stop,platform
37.110688,128.265618,고명동(한천),고명동(한천),bus_stop,platform
37.11285,128.257884,고명동(한천),고명동(한천),bus_stop,platform
37.105216,128.241803,대랑동(송현입구),대랑동(송현입구),bus_stop,platform
37.104312,128.243071,대랑동(송현),대랑동(송현),bus_stop,platform
37.099246,128.247881,대랑동(대랑리),대랑동(대랑리),bus_stop,platform
37.092757,128.256691,대랑동(대원주유소 옆),대랑동(대원주유소 옆),bus_stop,platform
37.093071,128.257502,대랑동(대원주유소 건너편),대랑동(대원주유소 건너편),bus_stop,platform
37.140243,128.26311,두학동(상풍마을),두학동(상풍마을),bus_stop,platform
37.131784,128.240762,두학동(알미입구),두학동(알미입구),bus_stop,platform
37.128304,128.2821,두학동(장치미),두학동(장치미),bus_stop,platform
37.128877,128.279705,두학동(장치미삼거리),두학동(장치미삼거리),bus_stop,platform
37.131593,128.274335,두학동(장치미연못),두학동(장치미연못),bus_stop,platform
37.146103,128.245198,흑석동(서문니마을),흑석동(서문니마을),bus_stop,platform
37.133074,128.244199,흑석동(흑석동),흑석동(흑석동),bus_stop,platform
37.121704,128.290752,자작동(가마실),자작동(가마실),bus_stop,platform
37.121704,128.290752,자작동(가마실),자작동(가마실),bus_stop,platform
37.102773,128.300906,자작동(갑산재),자작동(갑산재),bus_stop,platform
37.103637,128.301371,자작동(갑산재앞),자작동(갑산재앞),bus_stop,platform
37.111623,128.300412,자작동(자작),자작동(자작),bus_stop,platform
37.125006,128.285453,자작동(화랑터),자작동(화랑터),bus_stop,platform
37.122468,128.235207,고명동,고명동,bus_stop,platform
37.122413,128.235635,고명동,고명동,bus_stop,platform
37.122628,128.227195,고명동,고명동,bus_stop,platform
37.122973,128.230662,고명동,고명동,bus_stop,platform
37.122973,128.230662,고명동,고명동,bus_stop,platform
37.138839,128.245231,세하의집,세하의집,bus_stop,platform
37.140001,128.245494,세하의집 앞,세하의집 앞,bus_stop,platform
37.130979,128.228582,어울림체육관 앞,어울림체육관 앞,bus_stop,platform
37.131442,128.20721,역전시장,역전시장,bus_stop,platform
37.13091,128.207479,삼익상가 옆,삼익상가 옆,bus_stop,platform
37.120384,128.207844,휴먼시아2단지 아파트 삼거리,휴먼시아2단지 아파트 삼거리,bus_stop,platform
37.121537,128.207802,휴먼시아2단지 아파트 입구,휴먼시아2단지 아파트 입구,bus_stop,platform
37.122778,128.199129,강저휴먼시아3단지,강저휴먼시아3단지,bus_stop,platform
37.119917,128.211714,진우골입구,진우골입구,bus_stop,platform
37.119917,128.211714,진우골입구,진우골입구,bus_stop,platform
37.119707,128.218409,강저로통로,강저로통로,bus_stop,platform
37.116995,128.222666,강제동마을,강제동마을,bus_stop,platform
37.114552,128.223446,원강제,원강제,bus_stop,platform
37.112014,128.201644,명지동 성보나벤뚜라입구,명지동 성보나벤뚜라입구,bus_stop,platform
37.109881,128.200063,방초골,방초골,bus_stop,platform
37.105192,128.190836,무지골 건강관리실앞,무지골 건강관리실앞,bus_stop,platform
37.104214,128.198945,산곡동,산곡동,bus_stop,platform
37.100555,128.199554,중터,중터,bus_stop,platform
37.094294,128.19839,산곡동,산곡동,bus_stop,platform
37.121046,128.199777,강저 코아루 아파트,강저 코아루 아파트,bus_stop,platform
37.128479,128.206009,제천역 종점,제천역 종점,bus_stop,platform
37.131442,128.20721,역전교차로앞,역전교차로앞,bus_stop,platform
37.127834,128.213863,서희아파트,서희아파트,bus_stop,platform
37.127834,128.213863,서희아파트앞,서희아파트앞,bus_stop,platform
37.127834,128.213863,약초시장입구,약초시장입구,bus_stop,platform
37.127834,128.213863,약초시장입구앞,약초시장입구앞,bus_stop,platform
37.142212,128.200914,하소동(삼천리자건거앞),하소동(삼천리자건거앞),bus_stop,platform
37.142843,128.200882,하소동(골말감자탕건너편),하소동(골말감자탕건너편),bus_stop,platform
37.1445,128.196125,하소1단지 아파트,하소1단지 아파트,bus_stop,platform
37.143458,128.199476,하나로마트 앞,하나로마트 앞,bus_stop,platform
37.142297,128.198832,의림여중 앞(우),의림여중 앞(우),bus_stop,platform
37.147237,128.197809,원뜰,원뜰,bus_stop,platform
37.151578,128.188533,가구단지(좌),가구단지(좌),bus_stop,platform
37.152429,128.18581,가구단지(우),가구단지(우),bus_stop,platform
37.156332,128.179357,종자보급소,종자보급소,bus_stop,platform
37.153252,128.184033,"질고개,현진에버빌 아파트","질고개,현진에버빌 아파트",bus_stop,platform
37.15425,128.191376,신월동(중앙골프 연습장 인근),신월동(중앙골프 연습장 인근),bus_stop,platform
37.152014,128.191708,신월동(중앙골프 연습장 인근),신월동(중앙골프 연습장 인근),bus_stop,platform
37.172623,128.191828,대원대학 입구,대원대학 입구,bus_stop,platform
37.17133,128.194494,신월학사촌,신월학사촌,bus_stop,platform
37.168249,128.194114,중담(부영 아파트),중담(부영 아파트),bus_stop,platform
37.165301,128.194895,하진마을(좌),하진마을(좌),bus_stop,platform
37.156402,128.19226,하진(신안전력앞),하진(신안전력앞),bus_stop,platform
37.154351,128.172654,바이오밸리입구,바이오밸리입구,bus_stop,platform
37.053863,128.160461,충북전통의학산업센타,충북전통의학산업센타,bus_stop,platform
37.147606,128.16943,바이오벤처센터앞,바이오벤처센터앞,bus_stop,platform
37.146005,128.167006,신영에이치에스앞,신영에이치에스앞,bus_stop,platform
37.146005,128.167006,아세아테크앞,아세아테크앞,bus_stop,platform
37.14396,128.166574,한방엑스포공원입구(시내방향),한방엑스포공원입구(시내방향),bus_stop,platform
37.14396,128.166574,한방엑스포공원입구(엑스포장방향),한방엑스포공원입구(엑스포장방향),bus_stop,platform
37.144573,128.159731,한방엑스포공원(좌),한방엑스포공원(좌),bus_stop,platform
37.144393,128.159551,한방엑스포공원(우),한방엑스포공원(우),bus_stop,platform
37.147196,128.159737,왕암종점,왕암종점,bus_stop,platform
