위도,경도,public_transport,highway,name,operator,source,source:date
37.98266,127.61635,platform,bus_stop,지암리,춘천시,공공데이터포털,2019-11-27
37.97671,127.62906,platform,bus_stop,지암리,춘천시,공공데이터포털,2019-11-27
37.97614,127.63234,platform,bus_stop,지암리,춘천시,공공데이터포털,2019-11-27
38.01951,127.637,platform,bus_stop,신포리,춘천시,공공데이터포털,2019-11-27
38.01945,127.63713,platform,bus_stop,신포리,춘천시,공공데이터포털,2019-11-27
38.00358,127.63427,platform,bus_stop,원평리,춘천시,공공데이터포털,2019-11-27
37.96624,127.67465,platform,bus_stop,고탄입구,춘천시,공공데이터포털,2019-11-27
37.96041,127.68148,platform,bus_stop,용산2리,춘천시,공공데이터포털,2019-11-27
37.96037,127.68184,platform,bus_stop,용산2리,춘천시,공공데이터포털,2019-11-27
37.9465,127.7074,platform,bus_stop,용산3리종점,춘천시,공공데이터포털,2019-11-27
37.93913,127.7142,platform,bus_stop,용산1리,춘천시,공공데이터포털,2019-11-27
37.9393,127.71428,platform,bus_stop,용산1리,춘천시,공공데이터포털,2019-11-27
37.95574,127.72506,platform,bus_stop,지내2리응달말,춘천시,공공데이터포털,2019-11-27
37.93699,127.7277,platform,bus_stop,국군병원,춘천시,공공데이터포털,2019-11-27
37.9109,127.72266,platform,bus_stop,사농현대A,춘천시,공공데이터포털,2019-11-27
37.88877,127.72016,platform,bus_stop,성신양회,춘천시,공공데이터포털,2019-11-27
37.87954,127.71419,platform,bus_stop,근화동노인회관,춘천시,공공데이터포털,2019-11-27
37.8598,127.735,platform,bus_stop,휴먼시아2차아파트,춘천시,공공데이터포털,2019-11-27
37.861,127.7323,platform,bus_stop,미래컨벤션웨딩홀,춘천시,공공데이터포털,2019-11-27
37.83238,127.76319,platform,bus_stop,학곡리,춘천시,공공데이터포털,2019-11-27
37.83234,127.76307,platform,bus_stop,원창고개입구,춘천시,공공데이터포털,2019-11-27
37.85052,127.74897,platform,bus_stop,스무숲입구,춘천시,공공데이터포털,2019-11-27
37.851,127.7438,platform,bus_stop,투탑시티,춘천시,공공데이터포털,2019-11-27
37.84985,127.74413,platform,bus_stop,퇴계2우체국,춘천시,공공데이터포털,2019-11-27
37.85983,127.7311,platform,bus_stop,퇴계우성A,춘천시,공공데이터포털,2019-11-27
37.85505,127.74831,platform,bus_stop,로데오거리,춘천시,공공데이터포털,2019-11-27
37.82784,127.72621,platform,bus_stop,증3리,춘천시,공공데이터포털,2019-11-27
37.80909,127.70908,platform,bus_stop,증2리,춘천시,공공데이터포털,2019-11-27
37.7952,127.7126,platform,bus_stop,증리,춘천시,공공데이터포털,2019-11-27
37.7811,127.7154,platform,bus_stop,혈동리,춘천시,공공데이터포털,2019-11-27
37.7758,127.714,platform,bus_stop,혈동리,춘천시,공공데이터포털,2019-11-27
37.75676,127.70779,platform,bus_stop,광판2리,춘천시,공공데이터포털,2019-11-27
37.74988,127.70863,platform,bus_stop,탑골,춘천시,공공데이터포털,2019-11-27
37.74663,127.7185,platform,bus_stop,군자리,춘천시,공공데이터포털,2019-11-27
37.74724,127.71961,platform,bus_stop,군자리,춘천시,공공데이터포털,2019-11-27
37.75409,127.7379,platform,bus_stop,군자3리,춘천시,공공데이터포털,2019-11-27
37.75565,127.74009,platform,bus_stop,군자3리,춘천시,공공데이터포털,2019-11-27
37.75565,127.74044,platform,bus_stop,군자3리,춘천시,공공데이터포털,2019-11-27
37.75847,127.74794,platform,bus_stop,군자3리,춘천시,공공데이터포털,2019-11-27
37.75142,127.82263,platform,bus_stop,부사원고개,춘천시,공공데이터포털,2019-11-27
37.74318,127.8295,platform,bus_stop,조양3리,춘천시,공공데이터포털,2019-11-27
37.75336,127.79383,platform,bus_stop,봉명리조양교,춘천시,공공데이터포털,2019-11-27
37.78754,127.75197,platform,bus_stop,전인고등학교,춘천시,공공데이터포털,2019-11-27
37.78799,127.76004,platform,bus_stop,새술막,춘천시,공공데이터포털,2019-11-27
37.87617,127.77542,platform,bus_stop,대형약국,춘천시,공공데이터포털,2019-11-27
37.8761,127.77513,platform,bus_stop,대형약국,춘천시,공공데이터포털,2019-11-27
37.88724,127.75365,platform,bus_stop,산림조합강원본부,춘천시,공공데이터포털,2019-11-27
37.88699,127.75322,platform,bus_stop,산림조합강원본부,춘천시,공공데이터포털,2019-11-27
37.95911,127.74599,platform,bus_stop,발산3리,춘천시,공공데이터포털,2019-11-27
37.95331,127.7463,platform,bus_stop,금광터,춘천시,공공데이터포털,2019-11-27
37.94753,127.75073,platform,bus_stop,운전면허시험장,춘천시,공공데이터포털,2019-11-27
37.93833,127.80195,platform,bus_stop,소양강댐주차장,춘천시,공공데이터포털,2019-11-27
37.91202,127.73946,platform,bus_stop,폴리텍2캠퍼스,춘천시,공공데이터포털,2019-11-27
37.91746,127.7982,platform,bus_stop,월곡리,춘천시,공공데이터포털,2019-11-27
37.90376,127.78678,platform,bus_stop,감정리,춘천시,공공데이터포털,2019-11-27
37.87707,127.72308,platform,bus_stop,중앙시장환승센터,춘천시,공공데이터포털,2019-11-27
37.87244,127.75268,platform,bus_stop,후평3동우체국,춘천시,공공데이터포털,2019-11-27
37.87243,127.75247,platform,bus_stop,부안주유소,춘천시,공공데이터포털,2019-11-27
37.87733,127.74838,platform,bus_stop,후평중학교,춘천시,공공데이터포털,2019-11-27
37.87554,127.75105,platform,bus_stop,후평주공7단지,춘천시,공공데이터포털,2019-11-27
37.87572,127.75116,platform,bus_stop,후평주공7단지,춘천시,공공데이터포털,2019-11-27
37.87433,127.74887,platform,bus_stop,후평주공6단지,춘천시,공공데이터포털,2019-11-27
37.87422,127.74837,platform,bus_stop,후평주공6단지,춘천시,공공데이터포털,2019-11-27
37.87346,127.74691,platform,bus_stop,후평주공5단지,춘천시,공공데이터포털,2019-11-27
37.89293,127.74863,platform,bus_stop,후평동종점,춘천시,공공데이터포털,2019-11-27
37.89376,127.74874,platform,bus_stop,후평동종점,춘천시,공공데이터포털,2019-11-27
37.87492,127.75763,platform,bus_stop,후평주공4단지후문,춘천시,공공데이터포털,2019-11-27
37.87495,127.75778,platform,bus_stop,후평주공4단지 후문,춘천시,공공데이터포털,2019-11-27
37.87624,127.75696,platform,bus_stop,후평주공4단지,춘천시,공공데이터포털,2019-11-27
37.87624,127.75709,platform,bus_stop,대우A,춘천시,공공데이터포털,2019-11-27
37.87624,127.75371,platform,bus_stop,후평3동행복센터,춘천시,공공데이터포털,2019-11-27
37.87646,127.7548,platform,bus_stop,후평3동행복센터,춘천시,공공데이터포털,2019-11-27
37.7462,127.6221,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.74805,127.62018,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.75749,127.62402,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.7603,127.62681,platform,bus_stop,소주고개,춘천시,공공데이터포털,2019-11-27
37.74793,127.62009,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.74616,127.62196,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.74274,127.63426,platform,bus_stop,후동2리입구,춘천시,공공데이터포털,2019-11-27
37.74264,127.63433,platform,bus_stop,후동2리입구,춘천시,공공데이터포털,2019-11-27
37.74684,127.63075,platform,bus_stop,후동2리,춘천시,공공데이터포털,2019-11-27
37.75097,127.61969,platform,bus_stop,후동,춘천시,공공데이터포털,2019-11-27
37.87541,127.73832,platform,bus_stop,중부지구대,춘천시,공공데이터포털,2019-11-27
37.87579,127.73787,platform,bus_stop,중부지구대,춘천시,공공데이터포털,2019-11-27
37.73018,127.59631,platform,bus_stop,발산1리,춘천시,공공데이터포털,2019-11-27
37.73002,127.59612,platform,bus_stop,황골,춘천시,공공데이터포털,2019-11-27
37.92214,127.72494,platform,bus_stop,화목원,춘천시,공공데이터포털,2019-11-27
37.92221,127.72328,platform,bus_stop,화목원,춘천시,공공데이터포털,2019-11-27
37.74512,127.64028,platform,bus_stop,화광사,춘천시,공공데이터포털,2019-11-27
37.74504,127.64052,platform,bus_stop,화광사,춘천시,공공데이터포털,2019-11-27
37.86541,127.75526,platform,bus_stop,호반체육관,춘천시,공공데이터포털,2019-11-27
37.86557,127.75522,platform,bus_stop,우석중학교,춘천시,공공데이터포털,2019-11-27
37.89005,127.71945,platform,bus_stop,호반A,춘천시,공공데이터포털,2019-11-27
37.89015,127.71969,platform,bus_stop,호반A,춘천시,공공데이터포털,2019-11-27
37.89231,127.72339,platform,bus_stop,호반동행복센터,춘천시,공공데이터포털,2019-11-27
37.88765,127.75091,platform,bus_stop,춘천도매물류마트,춘천시,공공데이터포털,2019-11-27
37.78532,127.68748,platform,bus_stop,혈동2리종점,춘천시,공공데이터포털,2019-11-27
37.78785,127.68504,platform,bus_stop,혈동2리마을회관,춘천시,공공데이터포털,2019-11-27
37.7879,127.68514,platform,bus_stop,혈동2리마을회관,춘천시,공공데이터포털,2019-11-27
37.79391,127.68656,platform,bus_stop,혈동2리,춘천시,공공데이터포털,2019-11-27
37.79427,127.68679,platform,bus_stop,혈동2리,춘천시,공공데이터포털,2019-11-27
37.77153,127.69994,platform,bus_stop,혈동1리종점,춘천시,공공데이터포털,2019-11-27
37.7707,127.7138,platform,bus_stop,혈동1리입구,춘천시,공공데이터포털,2019-11-27
37.7705,127.7139,platform,bus_stop,혈동1리입구,춘천시,공공데이터포털,2019-11-27
37.8889,127.68737,platform,bus_stop,현암리,춘천시,공공데이터포털,2019-11-27
37.885,127.68361,platform,bus_stop,현암리,춘천시,공공데이터포털,2019-11-27
37.87683,127.6775,platform,bus_stop,현암리,춘천시,공공데이터포털,2019-11-27
37.87687,127.67768,platform,bus_stop,현암리,춘천시,공공데이터포털,2019-11-27
37.88496,127.68375,platform,bus_stop,현암리,춘천시,공공데이터포털,2019-11-27
37.88887,127.68755,platform,bus_stop,현암리,춘천시,공공데이터포털,2019-11-27
37.90355,127.73827,platform,bus_stop,강원도재활병원,춘천시,공공데이터포털,2019-11-27
37.88107,127.75184,platform,bus_stop,후평현대3차,춘천시,공공데이터포털,2019-11-27
