위도,경도,name,name:ko,ref,highway,public_transport,passenger_information_display
37.3094951,127.4843813,도지리,도지리,32156,bus_stop,platform,yes
37.2849786,127.4332057,두산아파트,두산아파트,32071,bus_stop,platform,yes
37.2971732,127.4384944,수림2차아파트,수림2차아파트,32362,bus_stop,platform,yes
37.2943042,127.4429376,아리사거리,아리사거리,32751,bus_stop,platform,yes
37.2881567,127.4460947,이천고등학교,이천고등학교,32584,bus_stop,platform,yes
37.2888392,127.4518096,보건소,보건소,32272,bus_stop,platform,yes
37.2400185,127.3633608,삼진정보통신,삼진정보통신,32021,bus_stop,platform,yes
37.223199,127.369976,이평리,이평리,32037,bus_stop,platform,yes
37.2531485,127.4070548,표교리·도드람주유소,표교리·도드람주유소,32054,bus_stop,platform,yes
37.2497145,127.4423742,유산2리·달려라주유소,유산2리·달려라주유소,32084,bus_stop,platform,yes
37.2564387,127.4925607,현대7차아파트,현대7차아파트,51199,bus_stop,platform,yes
37.2461728,127.4892766,현대사원아파트,현대사원아파트,32163,bus_stop,platform,yes
37.2437719,127.4950159,사동리,사동리,32820,bus_stop,platform,yes
37.2417207,127.5033711,기영아파트,기영아파트,32983,bus_stop,platform,yes
37.2297887,127.4938138,대월면사무소,대월면사무소,32814,bus_stop,platform,yes
37.222104,127.450154,단월동,단월동,32621,bus_stop,platform,yes
37.2106284,127.4534393,대포동,대포동,32844,bus_stop,platform,yes
37.1846847,127.4763055,원두1리,원두1리,32588,bus_stop,platform,yes
37.1740848,127.4800733,진가초등학교앞,진가초등학교앞,32601,bus_stop,platform,yes
37.161818,127.4802829,서경리,서경리,32684,bus_stop,platform,yes
37.1052736,127.5472713,반월성,반월성,32195,bus_stop,platform,yes
37.124204,127.6180884,장호원중고등학교,장호원중고등학교,32633,bus_stop,platform,yes
37.1158911,127.6251899,축협,축협,32242,bus_stop,platform,yes
37.2826063,127.4359485,양정여고,양정여고,32072,bus_stop,platform,yes
37.2826695,127.4364966,양정여고,양정여고,32073,bus_stop,platform,yes
37.2882292,127.4551401,증포중학교,증포중학교,51064,bus_stop,platform,yes
37.2818221,127.4584611,갈산주공아파트,갈산주공아파트,32353,bus_stop,platform,yes
37.3056822,127.4781303,모전3리,모전3리,32148,bus_stop,platform,yes
37.3344644,127.4540282,경사1리,경사1리,32761,bus_stop,platform,yes
37.3146578,127.4997669,우곡리,우곡리,32561,bus_stop,platform,yes
37.3118458,127.5042381,우곡리,우곡리,51013,bus_stop,platform,yes
37.3049649,127.492789,금성리,금성리,32449,bus_stop,platform,yes
37.3205966,127.5164351,상용리,상용리,32447,bus_stop,platform,yes
37.3240382,127.516481,상촌,상촌,32559,bus_stop,platform,yes
37.3296416,127.4799957,도립2리,도립2리,32723,bus_stop,platform,yes
37.2917537,127.3743397,고척2리,고척2리,51173,bus_stop,platform,yes
37.310138,127.4568541,도봉1리,도봉1리,32256,bus_stop,platform,yes
37.3136802,127.3977602,수광2리,수광2리,32049,bus_stop,platform,yes
37.3104669,127.4013508,남정삼거리,남정삼거리,32528,bus_stop,platform,yes
37.2884282,127.4005416,한국도예고교앞,한국도예고교앞,32667,bus_stop,platform,yes
37.2965761,127.4066599,수남리,수남리,32347,bus_stop,platform,yes
37.306952,127.3860281,인후리,인후리,32951,bus_stop,platform,yes
37.3281711,127.4455737,장동2리,장동2리,32558,bus_stop,platform,yes
37.2605736,127.4583796,가좌리태우빌라앞,가좌리태우빌라앞,32833,bus_stop,platform,yes
