위도,경도,ref,정류장유형,name,short_name,name:ko,highway,public_transport
34.801119,126.409122,100701014,0,용해동금호아파트,용해동금호아파트,용해동금호아파트,bus_stop,platform
34.802988,126.408802,100600012,0,신안인스빌,신안인스빌,신안인스빌,bus_stop,platform
34.796363,126.408597,100600015,0,제일중학교,제일중학교,제일중학교,bus_stop,platform
34.797773,126.408728,100600014,0,용해동동아아파트,용해동동아아파트,용해동동아아파트,bus_stop,platform
34.80538,126.408875,100600011,0,용해교,용해교,용해교,bus_stop,platform
34.794265,126.424623,101501015,0,중바위,중바위,중바위,bus_stop,platform
34.7992,126.411117,103001023,0,이로동주민센터,이로동주민센터,이로동주민센터,bus_stop,platform
34.798572,126.407988,150000017,0,용해동동아아파트,용해동동아아파트,용해동동아아파트,bus_stop,platform
34.795147,126.40938,100701004,0,제일중학교,제일중학교,제일중학교,bus_stop,platform
34.793585,126.412288,100702056,0,남해하수펌프장,남해하수펌프장,남해하수펌프장,bus_stop,platform
34.792593,126.417073,100702055,0,문화예술회관,문화예술회관,문화예술회관,bus_stop,platform
34.794568,126.407987,100702057,0,한성주택,한성주택,한성주택,bus_stop,platform
34.793092,126.422458,100702054,0,목포자연사박물관,목포자연사박물관,목포자연사박물관,bus_stop,platform
34.80061,126.408822,100702046,0,용해동금호아파트,용해동금호아파트,용해동금호아파트,bus_stop,platform
34.795988,126.408787,100600091,0,제일중학교정문,제일중학교정문,제일중학교정문,bus_stop,platform
34.805225,126.409232,100600095,0,용해교,용해교,용해교,bus_stop,platform
34.803124,126.409186,100600094,0,한국전력,한국전력,한국전력,bus_stop,platform
34.79786,126.409,100600092,0,용해동아아파트,용해동아아파트,용해동아아파트,bus_stop,platform
34.793875,126.424627,101503059,0,중바위,중바위,중바위,bus_stop,platform
34.792888,126.422757,101503058,0,국립해양유물전시관,해양유물전시관,국립해양유물전시관,bus_stop,platform
34.792503,126.417535,101503057,0,문화예술회관,문화예술회관,문화예술회관,bus_stop,platform
34.793272,126.412522,101503056,0,남해하수펌프장,남해하수펌프장,남해하수펌프장,bus_stop,platform
34.798942,126.408033,150000101,0,용해동동아아파트,용해동동아아파트,용해동동아아파트,bus_stop,platform
34.799292,126.410448,150000100,0,이로동주민센터,이로동주민센터,이로동주민센터,bus_stop,platform
34.800322,126.375273,101503037,0,홍일중고등학교,홍일중고등학교,홍일중고등학교,bus_stop,platform
34.798957,126.37834,101301032,0,햇빛약국,햇빛약국,햇빛약국,bus_stop,platform
34.80121,126.372053,113000027,0,서부초등학교,서부초등학교,서부초등학교,bus_stop,platform
34.801763,126.369974,113000028,0,어민동산입구,어민동산입구,어민동산입구,bus_stop,platform
34.800202,126.378557,160000063,0,삼일로,삼일로,삼일로,bus_stop,platform
34.801287,126.370953,102000063,0,어민동산입구,어민동산입구,어민동산입구,bus_stop,platform
34.802362,126.368382,102000062,0,목포대교입구,목포대교입구,목포대교입구,bus_stop,platform
34.800617,126.374657,103002028,0,홍일중고등학교,홍일중고등학교,홍일중고등학교,bus_stop,platform
34.800232,126.378083,103002026,0,삼일로,삼일로,삼일로,bus_stop,platform
34.798517,126.36791,103002030,0,목포해상케이블카,목포해상케이블카,목포해상케이블카,bus_stop,platform
34.800883,126.37322,103002037,0,서부초등학교,서부초등학교,서부초등학교,bus_stop,platform
34.798452,126.368223,103001004,0,목포해상케이블카,목포해상케이블카,목포해상케이블카,bus_stop,platform
34.799757,126.376817,113000109,0,죽교동주민센터,죽교동주민센터,죽교동주민센터,bus_stop,platform
34.800104,126.376282,101301033,0,죽교동주민센터,죽교동주민센터,죽교동주민센터,bus_stop,platform
34.797841,126.378523,100800068,0,구.제일극장,구.제일극장,구.제일극장,bus_stop,platform
34.936137,126.711605,327000003,1,죽동,죽동,죽동,bus_stop,platform
34.950663,126.711488,327000004,1,신원리,신원리,신원리,bus_stop,platform
34.954328,126.710724,327000005,1,금동,금동,금동,bus_stop,platform
34.960473,126.707215,327000006,1,신가,신가,신가,bus_stop,platform
34.971799,126.706651,327000007,1,양산,양산,양산,bus_stop,platform
