위도,경도,name,amenity,community_centre,community_centre:for,addr:full,operator,operator:type,source:date
33.2658284758,126.3686435363,창천리 문화회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 창천중앙로 35-2,창천리마을회,community,2020-06-10
33.2383367368,126.3658885314,대평리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 대평감산로 43,대평리마을회,community,2020-06-10
33.2354497343,126.3669479256,대평리 용왕난드르 체험장,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 대평감산로 8 ,대평리마을회,community,2020-06-10
33.2594738197,126.3538879578,감산리 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 감산중로 29,감산리마을회,community,2020-06-10
33.2588518135,126.3535619999,감산리 마을문고,library,,,제주특별자치도 서귀포시 안덕면 감산중로 34-1,감산리마을회,community,2020-06-10
33.2590094653,126.3533633749,감산리 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 감산중로 32,감산리마을회,community,2020-06-10
33.2588518135,126.3535619999,감산리 산이마을방문객센터,community_centre,village_hall,,제주특별자치도 서귀포시 안덕면 감산중로 34-1,감산리마을회,community,2020-06-10
33.3247199533,126.832352118,표선리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 표선동서로 234,표선리 마을회,community,2020-06-10
33.3277518451,126.8236809504,표선리 복합문화센터,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 표선관정로 48-36,표선리 마을회,community,2020-06-10
33.3311469,126.8284242,표선리 종합복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 표선중앙로 21,제주특별자치도,community,2020-06-10
33.3463917768,126.840818815,하천리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 하천로 59,하천리 마을회,community,2020-06-10
33.3899568113,126.7977816504,성읍1리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 중산간동로 4658,성읍1리 마을회,community,2020-06-10
33.3923458651,126.8009834228,성읍1리 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 서성일로10번길 6-4,성읍1리 마을회,community,2020-06-10
33.3977394351,126.8044452075,성읍1리 복지타운,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 서성일로 74,성읍1리 마을회,community,2020-06-10
33.4132783692,126.7719813327,성읍2리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 성읍이리로 52,성읍2리 마을회,community,2020-06-10
33.3531468528,126.7715623812,가시리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 가시로565번길 20,가시리 마을회,community,2020-06-10
33.3531468528,126.7715623812,가시리 문화센터,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 가시로565번길 20,가시리 마을회,community,2020-06-10
33.3293937342,126.7982224072,세화1리 마을문고회,library,,,제주특별자치도 서귀포시 표선면 세성로 274,세화1리마을회,community,2020-06-10
33.3318313679,126.7979976735,세화1리 종합복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 세성로 302,세화1리마을회,community,2020-06-10
33.3318313679,126.7979976735,세화1리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 세성로 302,세화1리마을회,community,2020-06-10
33.3070417962,126.801228961,세화2리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 일주동로 6276,세화2리마을회,community,2020-06-10
33.3070417962,126.801228961,세화2리 건강관리동,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 일주동로 6276,세화2리마을회,community,2020-06-10
33.3187124968,126.7902655802,세화3리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 세화로 168,세화3리 마을회,community,2020-06-10
33.3264659417,126.7657377844,토산1리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 중산간동로5570번길 2,토산1리 마을회,community,2020-06-10
33.3264659417,126.7657377844,토산1리 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 중산간동로5570번길 2,토산1리 마을회,community,2020-06-10
