위도,경도,name,addr:full,source:date,amenity,karaoke
33.44810653,126.9157564,노다지,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2,2020-08-20,bar,yes
33.44720735,126.9140493,신나는가요방,제주특별자치도 서귀포시 성산읍 일출로 12,2020-08-20,bar,yes
33.46352464,126.934631,질러노래타운,제주특별자치도 서귀포시 성산읍 일출로 293,2020-08-20,bar,yes
33.46615315,126.9335404,대부,제주특별자치도 서귀포시 성산읍 한도로 244,2020-08-20,bar,yes
33.24308474,126.5631895,비서실,제주특별자치도 서귀포시 솔동산로22번길 5,2020-08-20,bar,yes
33.25312564,126.5109647,벅스노래주점,제주특별자치도 서귀포시 신서귀로 45,2020-08-20,bar,yes
33.25383265,126.5100808,원샷,제주특별자치도 서귀포시 신서귀로51번길 11,2020-08-20,bar,yes
33.25300225,126.507115,퍼블리코,제주특별자치도 서귀포시 신서로48번길 20-9,2020-08-20,bar,yes
33.30497395,126.3163542,골든마이크(Golden Mic),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,2020-08-20,bar,yes
33.292611,126.3485636,테디락,제주특별자치도 서귀포시 안덕면 한창로 365,2020-08-20,bar,yes
33.24617498,126.33171,바니걸스,제주특별자치도 서귀포시 안덕면 화순로 137,2020-08-20,bar,yes
33.2470621,126.5640367,올레가요방,제주특별자치도 서귀포시 이중섭로 12,2020-08-20,bar,yes
33.24631622,126.5642293,몽리,제주특별자치도 서귀포시 이중섭로 17,2020-08-20,bar,yes
33.24777389,126.5644109,서귀포스타박스노래주점,제주특별자치도 서귀포시 이중섭로 3,2020-08-20,bar,yes
33.24761378,126.5640039,소풍,제주특별자치도 서귀포시 이중섭로 4-1,2020-08-20,bar,yes
33.2472491,126.562378,로얄가요주점,제주특별자치도 서귀포시 이중섭로 7 ,2020-08-20,bar,yes
33.25235112,126.5574173,로라가요방,제주특별자치도 서귀포시 일주동로 8715,2020-08-20,bar,yes
33.24814212,126.5676153,동문가요방,제주특별자치도 서귀포시 정방로 6,2020-08-20,bar,yes
33.24969801,126.4115576,별밤지기노래타운,제주특별자치도 서귀포시 중문관광로72번길 29-9,2020-08-20,bar,yes
33.24969801,126.4115576,몽키비치,제주특별자치도 서귀포시 중문관광로72번길 29-9,2020-08-20,bar,yes
33.25197127,126.4256943,엠플러스,제주특별자치도 서귀포시 중문상로 40,2020-08-20,bar,yes
33.24662972,126.5620988,이화가요방,제주특별자치도 서귀포시 중앙로 22,2020-08-20,bar,yes
33.24678985,126.5614842,라운딩가요방,제주특별자치도 서귀포시 중앙로 23-2,2020-08-20,bar,yes
33.24708938,126.5615385,승승장구가요방,제주특별자치도 서귀포시 중앙로 25-3,2020-08-20,bar,yes
33.24786503,126.5616076,물방울,제주특별자치도 서귀포시 중앙로 35-1,2020-08-20,bar,yes
33.24799839,126.5615855,아가씨,제주특별자치도 서귀포시 중앙로 37,2020-08-20,bar,yes
33.24803222,126.5619759,보은가요방,제주특별자치도 서귀포시 중앙로 38,2020-08-20,bar,yes
33.24803222,126.5619759,불티모아,제주특별자치도 서귀포시 중앙로 38,2020-08-20,bar,yes
33.24840197,126.5614847,일프로유흥주점,제주특별자치도 서귀포시 중앙로 43,2020-08-20,bar,yes
33.24855127,126.5618918,하늘가요방,제주특별자치도 서귀포시 중앙로 44,2020-08-20,bar,yes
33.24870138,126.5615047,여우비,제주특별자치도 서귀포시 중앙로 45,2020-08-20,bar,yes
33.24870138,126.5615047,코끼리,제주특별자치도 서귀포시 중앙로 45,2020-08-20,bar,yes
33.24917478,126.5617728,소나기가요룸,제주특별자치도 서귀포시 중앙로 52,2020-08-20,bar,yes
