위도,경도,name,tourism,motor_vehicle,tents,caravans,static_caravans,addr:full,capacity:caravans,capacity:tents,power_supply,bbq,hot_water,internet_access,swimming_pool,shower,toilets,washing_machine,source:date
36.4547428,128.2443154,상주 경천대 오토캠핑장,camp_site,,yes,yes,yes,경상북도 상주시 사벌면 삼덕리 ,0,25,yes,yes,yes,yes,yes,,,,2019-07-12
36.4720356,128.0656557,상주 우산캠핑장 ,camp_site,,yes,,,경상북도 상주시 외서면 채릉산로 752 ,0,52,yes,yes,yes,yes,yes,,,,2019-07-12
36.4564624,128.2523191,상주보 캠프존 휴 ,camp_site,,yes,,,경상북도 상주시 도남동 ,0,19,yes,yes,yes,yes,yes,,,,2019-07-12
34.7225315,127.9881562,상주은모래비치캠핑장 ,camp_site,,yes,,,경상남도 남해군 상주면 상주리 ,0,,yes,no,yes,no,yes,,,,2019-07-12
36.5849333,126.4764272,상황오토캠핑장 ,camp_site,,yes,,,충청남도 홍성군 서부서길 633-60 ,0,41,yes,yes,yes,yes,yes,,,,2019-07-12
36.7567221,127.8965836,새들펜션캠핑장 ,camp_site,yes,,,,충청북도 괴산군 칠성면 쌍곡리 ,0,,no,no,no,no,,,,,2019-07-12
37.3236099,128.1785338,새막골 캠프 ,camp_site,yes,,,,강원 영월군 무릉도원면 새막골길 72-115,0,30,yes,yes,yes,yes,,,,,2019-07-12
37.8337987,128.475875,샘골솔밭야영장,camp_site,yes,,,,강원도 홍천군 내면 광원리 ,0,12,yes,yes,yes,no,,,,,2019-07-12
35.2918054,128.12999,생각나무자연학교,camp_site,,yes,,,경남 진주시 미천면 어옥로 3,0,,yes,no,yes,no,yes,,,,2019-07-12
37.3718699,127.8042936,생각속의 집 ,camp_site,,yes,,,강원도 원주시 지정면 판대리 ,0,5,yes,yes,yes,yes,,,,,2019-07-12
35.3664367,128.8124517,생림 오토 캠핑장 ,camp_site,,yes,,,경상남도 김해시 생림면 마사리 ,0,93,yes,yes,yes,yes,,,,,2019-07-12
36.9372466,127.2680627,샤토안오토캠핑장 ,camp_site,,yes,,,경기도 안성시 서운면 인리 ,0,,no,no,no,no,yes,,,,2019-07-12
37.6979763,128.4757375,샬롬빌리지 캠핑장 ,camp_site,yes,,,,강원도 평창군 용평면 노동리 ,0,15,yes,no,yes,no,,,,,2019-07-12
33.2325358,126.5001923,서건도카라반,camp_site,,,yes,yes,제주특별자치도 서귀포시 이어도로 826-51 ,4,4,yes,no,yes,no,yes,,,,2019-07-12
33.3147175,126.4654164,서귀포 자연휴양림 야영장,camp_site,,yes,,,제주특별자치도 서귀포시 대포동 ,0,,no,no,no,no,,,,,2019-07-12
33.2726887,126.3935086,서귀포호텔 카라반 캠핑장 ,camp_site,,,yes,yes,제주특별자치도 서귀포시 상예로 289-0 ,20,20,no,no,no,no,,,,,2019-07-12
35.5153999,128.6009586,서당골캠핑장 ,camp_site,yes,yes,,,경상남도 밀양시 무안면 삼화길 680-23 ,0,25,yes,yes,yes,no,yes,,,,2019-07-12
36.2350072,127.5340153,서대산 드림 캠핑파크,camp_site,,yes,,,충남 금산군 추부면 성당로 247,0,,yes,yes,yes,yes,yes,,,,2019-07-12
37.6968785,128.2506707,서석캠핑장,camp_site,yes,,,,강원도 홍천군 서석면 생곡리 ,0,55,yes,no,yes,yes,,,,,2019-07-12
37.6960482,127.0401589,서울 YMCA 다락원 캠프장 ,camp_site,yes,,,,경기도 의정부시 평화로 49번길63 ,0,,no,no,no,no,,,,,2019-07-12
37.4278311,127.0241838,서울대공원야영장,camp_site,yes,,,,경기도 과천시 막계동 ,0,,no,yes,no,no,,,,,2019-07-12
37.9959407,126.8867549,서정오토캠핑장,camp_site,yes,yes,,,경기도 연천군 장남면 원당리 ,0,60,yes,yes,yes,yes,yes,,,,2019-07-12
37.647816,127.4263787,서종힐링캠핑장 ,camp_site,yes,,,,경기도 양평군 화서로 532-6 ,0,35,yes,yes,yes,yes,yes,,,,2019-07-12
36.0455656,126.7189118,서천 금빛노을 서울캠핑장,camp_site,,yes,,,충청남도 서천군 장선리 128-3,0,15,yes,yes,yes,yes,,,,,2019-07-12
36.0852259,126.6451667,서천 늘푸른캠핑장 ,camp_site,,yes,,,충청남도 서천군 마서면 한성리 ,0,53,yes,yes,yes,yes,yes,,,,2019-07-12
36.1643093,126.5257078,서천 춘장대캠핑장 ,camp_site,,yes,,,충청남도 서천군 서면 도둔리 ,0,30,yes,yes,yes,yes,,,,,2019-07-12
36.1406479,126.5731691,서천갯벌체험글램핑 ,camp_site,,yes,,,충청남도 서천군 갯벌체험로 295-12 ,0,20,yes,yes,yes,yes,yes,,,,2019-07-12
36.144925,126.501995,서천해양캠핑장 ,camp_site,,yes,yes,yes,충청남도 서천군 서면 마량리 90-3 ,15,28,yes,no,yes,yes,yes,,,,2019-07-12
37.2236824,126.1135371,서포리 관광지 오토캠핑장 ,camp_site,,yes,,,인천 옹진군 덕적면 덕적남로587번길 28,0,50,yes,no,no,no,,,,,2019-07-12
36.719717,126.1274524,서해땅끝파도리아치내캠핑장 ,camp_site,,yes,,,충청남도 태안군 소원면 파도리 ,0,80,yes,yes,yes,yes,yes,,,,2019-07-12
38.1234993,128.5746709,석교리 야영장,camp_site,yes,,,,강원도 양양군 강현면 석교리 34,0,33,no,no,no,no,,,,,2019-07-12
37.7513525,126.3238473,석모도 부자캠핑,camp_site,,yes,,,인천광역시 강화군 삼산면 상리 12-2 ,0,,yes,yes,yes,no,yes,,,,2019-07-12
37.0136929,128.8767911,석문 오토캠핑장 ,camp_site,yes,,,,경상북도 봉화군 춘양면 애당리 ,0,25,yes,no,no,yes,yes,,,,2019-07-12
35.0947361,126.4630334,석양마을 주포,camp_site,,yes,,,전라남도 함평군 함평읍 주포로 403-6,0,12,yes,yes,yes,no,yes,,,,2019-07-12
38.0542863,126.9180759,석장리미술관 카라반,camp_site,,yes,yes,yes,경기도 연천군 백왕로225번길 240-1 ,19,22,yes,no,no,yes,,,,,2019-07-12
37.3694681,128.2733966,석천캠핑장,camp_site,yes,,,,강원도 영월군 수주면 백년계곡길 52 ,0,13,yes,yes,yes,no,,,,,2019-07-12
37.0049206,128.1510108,선녀와 나무꾼 캠핑장,camp_site,,yes,,,충북 제천시 청풍면 신리 214-4번지,0,22,no,yes,yes,no,yes,,,,2019-07-12
37.8267566,127.0465656,선녀와나무꾼 ,camp_site,,yes,yes,yes,경기도 양주시 덕계동 ,6,12,yes,no,yes,no,,,,,2019-07-12
37.0357641,128.6765205,선달산계곡캠핑장,camp_site,,yes,,,영주시 부석면 영부로 890번길 61-50,0,15,yes,yes,yes,no,,,,,2019-07-12
37.600594,126.493348,선두바다캠핑장,camp_site,yes,,,,인천시 강화군 길상면 선두리 973-9번지,0,,no,no,no,no,,,,,2019-07-12
36.0522257,127.3433942,선야봉 캠핑장 ,camp_site,,yes,,,전라북도 완주군 운주면 고당리 ,0,30,yes,yes,yes,yes,,,,,2019-07-12
35.5028114,126.5828185,선운산도립공원야영장,camp_site,,yes,,,전라북도 고창군 아산면 삼인리 ,0,,no,no,no,no,,,,,2019-07-12
37.4682203,128.9368805,설래림야영장,camp_site,yes,,,,강원도 정선군 임계면 내도전길 418,0,12,yes,yes,yes,no,,,,,2019-07-12
