위도,경도,building,name,addr:full,지번주소,rooms,building:levels,building:levels:underground,start_date,비고,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.256930413,126.5581539765,apartment,일호지오빌아파트,,제주특별자치도 서귀포시 서홍동 384,41,7,1,2007-01-18,아파트,2020-02-18,,홍중동로,19,,,,
33.2541884121,126.5754537491,apartment,캐슬휘닉스아파트,,제주특별자치도 서귀포시 동홍동 130,36,9,1,2007-01-25,아파트,2020-02-18,,일주동로,8547,,,,
33.2611095335,126.5548875399,apartment,지산오차드힐,,제주특별자치도 서귀포시 서홍동 1597-1,49,7,1,2008-02-04,아파트,2020-02-18,,홍중로,97,,,,
33.2523571543,126.5735953975,apartment,덕산캐슬,,제주특별자치도 서귀포시 동홍동 149-1,63,9,1,2008-04-23,아파트,2020-02-18,,태평로,529-6,,,,
33.2624503701,126.5597317391,apartment,주공6차아파트,,제주특별자치도 서귀포시 동홍동 1312,602,7,1,2008-06-20,아파트30년임대,2020-02-18,,중앙로,198-9,,,,
33.3010413473,126.3916675505,residential,핀크스 비오토피아 타운하우스,,제주특별자치도 서귀포시 안덕면 상천리 791,64,3,1,2009-04-15,연립,2020-02-18,,산록남로762번길,79,안덕면,,,
33.2277267644,126.2523011609,apartment,대정휴먼시아,,제주특별자치도 서귀포시 대정읍 하모리 1450,327,7,1,2010-03-05,아파트30년임대,2020-02-18,,하모중앙로,6,대정읍,,,
33.2608376004,126.5140425863,residential,노노스빌,,제주특별자치도 서귀포시 서호동 1258-1,40,4,1,2010-12-21,연립,2020-02-18,,중산간동로,8446,,,,
33.261808032,126.5575928099,apartment,일호지오빌Ⅱ,,제주특별자치도 서귀포시 서홍동 305,122,7,1,2011-07-29,아파트,2020-02-18,,중앙로195번길,7,,,,
33.2954079335,126.2903056007,residential,제주영어교육도시캐논스빌리지,,제주특별자치도 서귀포시 대정읍 구억리 1062,108,3,1,2011-08-30,연립.분양79.임대29,2020-02-18,,글로벌에듀로145번길,46,대정읍,,,
33.2628489777,126.555196395,apartment,형남3차아파트,,제주특별자치도 서귀포시 서홍동 1602,84,7,1,2011-11-29,아파트,2020-02-18,,홍중로,115,,,,
33.2954875561,126.288462634,residential,제주영어교육도시캐논스빌리지 2차,,제주특별자치도 서귀포시 대정읍 구억리 1058,72,3,1,2012-09-14,연립.분양54.임대18,2020-02-18,,글로벌에듀로145번길,24,대정읍,,,
33.2645797682,126.5581369297,apartment,동남한올레아파트,,제주특별자치도 서귀포시 서홍동 252-3,41,7,1,2012-11-20,아파트,2020-02-18,,중앙로,225,,,,
33.2575472578,126.5674230637,apartment,동홍 네스트힐,,제주특별자치도 서귀포시 동홍동 539,56,6,,2013-01-25,아파트,2020-02-18,,동홍로99번길,10,,,,
33.2537742843,126.5756360368,apartment,동홍 캐슬휘닉스2차,,제주특별자치도 서귀포시 동홍동 137,49,9,,2013-01-21,아파트,2020-02-18,,태평로,561,,,,
33.2667901239,126.5570009984,apartment,금성스마트빌,,제주특별자치도 서귀포시 서홍동 150,40,7,1,2013-04-12,아파트,2020-02-18,,현청로,65,,,,
33.2608928185,126.557829237,apartment,지오빌Ⅱ-2차,,제주특별자치도 서귀포시 서홍동 305-2,142,10,1,2013-05-06,아파트,2020-02-18,,중앙로,189,,,,
33.2548906057,126.439501389,residential,디엠하우스,,제주특별자치도 서귀포시 회수동 659-1,32,4,,2013-06-20,다세대주택,2020-02-18,,일주서로,664,,,,
33.2569897539,126.5575999255,apartment,서강파인힐 2차,,제주특별자치도 서귀포시 서홍동 381-1,47,7,,2013-06-21,아파트,2020-02-18,,홍중로,46,,,,
33.2545392398,126.5736363092,apartment,코아루아파트,,제주특별자치도 서귀포시 동홍동 157,263,10,1,2013-09-01,아파트,2020-02-18,,일주동로,8565,,,,
33.2488291678,126.4286421355,apartment,탑스빌,,제주특별자치도 서귀포시 중문동 2428,46,5,1,2013-11-27,아파트,2020-02-18,,천제연로232번길,18-21,,,,
